contentType,title,abstract,abstract_cn,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,normed_countrys,normed_unique_universitys,normed_universitys,publishedAt,publishedAtString,subjects,title_cn,url,volume
news & views,Random-access imaging of awake behaving animals,,,,[],True,"[""Meng Cui""]","Cui, M. Random-access imaging of awake behaving animals. Light Sci Appl6, e16275 (2017).",465,0,1,aplusplus,10.1038/lsa.2016.275,https://doi.org/10.1038/lsa.2016.275,,2,lsa,light: science & applications,,,,1487894400,2017-02-24,"ca2-imaging,multiphoton-microscopy",清醒的行为动物的随机访问成像 ,https://www.nature.com/articles/lsa2016275,6
news & views,Novel efficient THz undulator using a laser-driven wire,,,,[],True,"[""Kazuhisa Nakajima""]","Nakajima, K. Novel efficient THz undulator using a laser-driven wire. Light Sci Appl6, e17063 (2017).",683,1,4,aplusplus,10.1038/lsa.2017.63,https://doi.org/10.1038/lsa.2017.63,,5,lsa,light: science & applications,,,,1495152000,2017-05-19,"laser-produced-plasmas,mid-infrared-photonics",使用激光驱动线的新型高效太赫兹波荡器 ,https://www.nature.com/articles/lsa201763,6
news & views,When pressure meets light: detecting the photoacoustic effect at the origin,,,,[],True,"[""Junjie Yao""]","Yao, J. When pressure meets light: detecting the photoacoustic effect at the origin. Light Sci Appl6, e17062 (2017).",1952,1,8,aplusplus,10.1038/lsa.2017.62,https://doi.org/10.1038/lsa.2017.62,,6,lsa,light: science & applications,,,,1496361600,2017-06-02,"imaging-and-sensing,microscopy",当压力遇到光时：在起点处检测光声效应 ,https://www.nature.com/articles/lsa201762,6
news & views,Scattering on scattering,,,,[],True,"[""J\u00f6rn Bonse""]","Bonse, J. Scattering on scattering. Light Sci Appl6, e17088 (2017).",2204,1,2,aplusplus,10.1038/lsa.2017.88,https://doi.org/10.1038/lsa.2017.88,,7,lsa,light: science & applications,,,,1501200000,2017-07-28,"microscopy,ultrafast-photonics",散射时散射 ,https://www.nature.com/articles/lsa201788,6
news & views,Perovskite/organic-semiconductor heterojunctions for ultrasensitive photodetection,,,,[],True,"[""Leilei Gu"", ""Zhiyong Fan""]","Gu, L., Fan, Z. Perovskite/organic-semiconductor heterojunctions for ultrasensitive photodetection. Light Sci Appl6, e17090 (2017).",1356,1,47,aplusplus,10.1038/lsa.2017.90,https://doi.org/10.1038/lsa.2017.90,,8,lsa,light: science & applications,,,,1502409600,2017-08-11,"electronics-photonics-and-device-physics,optical-sensors",钙钛矿/有机半导体异质结，用于超灵敏光电检测 ,https://www.nature.com/articles/lsa201790,6
news & views,Unveiling the physics of microcavity lasers,,,,[],True,"[""William E Hayenga"", ""Mercedeh Khajavikhan""]","Hayenga, W., Khajavikhan, M. Unveiling the physics of microcavity lasers. Light Sci Appl6, e17091 (2017).",1182,1,0,aplusplus,10.1038/lsa.2017.91,https://doi.org/10.1038/lsa.2017.91,,8,lsa,light: science & applications,,,,1503619200,2017-08-25,"quantum-optics,semiconductor-lasers",揭示微腔激光器的物理原理 ,https://www.nature.com/articles/lsa201791,6
news & views,Miniaturized two-photon microscope: seeing clearer and deeper into the brain,,,,[],True,"[""Alcino J Silva""]","Silva, A. Miniaturized two-photon microscope: seeing clearer and deeper into the brain. Light Sci Appl6, e17104 (2017).",4405,5,9,aplusplus,10.1038/lsa.2017.104,https://doi.org/10.1038/lsa.2017.104,,8,lsa,light: science & applications,,,,1503619200,2017-08-25,"imaging-and-sensing,ultrafast-photonics",小型双光子显微镜：更清晰，更深入地观察大脑 ,https://www.nature.com/articles/lsa2017104,6
news & views,Off-axis holography and micro-optics improve lab-on-a-chip imaging,,,,[],True,"[""Zachary S Ballard"", ""Yibo Zhang"", ""Aydogan Ozcan""]","Ballard, Z., Zhang, Y. & Ozcan, A. Off-axis holography and micro-optics improve lab-on-a-chip imaging. Light Sci Appl6, e17105 (2017).",1117,6,8,aplusplus,10.1038/lsa.2017.105,https://doi.org/10.1038/lsa.2017.105,,9,lsa,light: science & applications,,,,1506038400,2017-09-22,"integrated-optics,optical-techniques",离轴全息和微光学技术改善了芯片实验室成像 ,https://www.nature.com/articles/lsa2017105,6
news & views,Lasing microbottles,,,,[],True,"[""Misha Sumetsky""]","Sumetsky, M. Lasing microbottles. Light Sci Appl6, e17102 (2017).",809,1,13,aplusplus,10.1038/lsa.2017.102,https://doi.org/10.1038/lsa.2017.102,,10,lsa,light: science & applications,,,,1507248000,2017-10-06,"micro-optics,nanophotonics-and-plasmonics",放入微瓶 ,https://www.nature.com/articles/lsa2017102,6
news & views,Toward unlimited temporal resolution: femtosecond videography for atomic and molecular dynamics,,,,[],True,"[""Hongwei Chen""]","Chen, H. Toward unlimited temporal resolution: femtosecond videography for atomic and molecular dynamics. Light Sci Appl6, e17123 (2017).",565,1,3,aplusplus,10.1038/lsa.2017.123,https://doi.org/10.1038/lsa.2017.123,,11,lsa,light: science & applications,,,,1509667200,2017-11-03,"imaging-and-sensing,ultrafast-lasers",迈向无限的时间分辨率：飞秒摄录技术，用于原子和分子动力学 ,https://www.nature.com/articles/lsa2017123,6
news & views,Vector-mode multiplexing brings an additional approach for capacity growth in optical fibers,,,,[],True,"[""Alan E Willner""]","Willner, A. Vector-mode multiplexing brings an additional approach for capacity growth in optical fibers. Light Sci Appl7, 18002 (2018).",1312,0,11,aplusplus,10.1038/lsa.2018.2,https://doi.org/10.1038/lsa.2018.2,,3,lsa,light: science & applications,,,,1521763200,2018-03-23,"optical-materials-and-structures,optical-techniques",矢量模式复用为光纤容量的增加带来了另一种方法 ,https://www.nature.com/articles/lsa20182,7
research highlights,"High-frequency nanoresonators, neuron-nanowire devices, molecular switches, optoelectronic polymers and more",,,,[],True,[],"High-frequency nanoresonators, neuron-nanowire devices, molecular switches, optoelectronic polymers and more. Nature Nanotech1, 12–13 (2006).",36,0,3,aplusplus,10.1038/nnano.2006.74,https://doi.org/10.1038/nnano.2006.74,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,高频纳米谐振器，神经元纳米线设备，分子开关，光电聚合物等 ,https://www.nature.com/articles/nnano.2006.74,1
research highlights,Top down bottom up: Anthrax under attack,,,,[],True,[],"Top down bottom up: Anthrax under attack. Nature Nanotech1, 13 (2006).",24,0,0,aplusplus,10.1038/nnano.2006.74a,https://doi.org/10.1038/nnano.2006.74a,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,自上而下自下而上：炭疽菌受到攻击 ,https://www.nature.com/articles/nnano.2006.74a,1
news & views,The nanoSQUID makes its debut,,,,[],True,"[""Marco Aprili""]","Aprili, M. The nanoSQUID makes its debut. Nature Nanotech1, 15–16 (2006).",209,10,6,aplusplus,10.1038/nnano.2006.78,https://doi.org/10.1038/nnano.2006.78,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,nanoSQUID首次亮相 ,https://www.nature.com/articles/nnano.2006.78,1
news & views,Sorting out carbon nanotube electronics,,,,[],True,"[""Andrew G. Rinzler""]","Rinzler, A. Sorting out carbon nanotube electronics. Nature Nanotech1, 17–18 (2006).",53,6,21,aplusplus,10.1038/nnano.2006.76,https://doi.org/10.1038/nnano.2006.76,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,挑选碳纳米管电子产品 ,https://www.nature.com/articles/nnano.2006.76,1
news & views,Pointillist microscopy,,,,[],True,"[""Norbert F. Scherer""]","Scherer, N. Pointillist microscopy. Nature Nanotech1, 19–20 (2006).",36,0,9,aplusplus,10.1038/nnano.2006.79,https://doi.org/10.1038/nnano.2006.79,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,点画显微镜 ,https://www.nature.com/articles/nnano.2006.79,1
news & views,Bringing friction to a halt,,,,[],True,"[""Joost Frenken""]","Frenken, J. Bringing friction to a halt. Nature Nanotech1, 20–21 (2006).",43,0,18,aplusplus,10.1038/nnano.2006.75,https://doi.org/10.1038/nnano.2006.75,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,停止摩擦 ,https://www.nature.com/articles/nnano.2006.75,1
news & views,Viruses show their good side,,,,[],True,"[""Mato Knez"", ""Ulrich G\u00f6sele""]","Knez, M., Gösele, U. Viruses show their good side. Nature Nanotech1, 22–23 (2006).",42,0,9,aplusplus,10.1038/nnano.2006.73,https://doi.org/10.1038/nnano.2006.73,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,病毒显示出自己的优势 ,https://www.nature.com/articles/nnano.2006.73,1
news & views,Signs of stress,,,,[],True,"[""Vicki Stone"", ""Ken Donaldson""]","Stone, V., Donaldson, K. Signs of stress. Nature Nanotech1, 23–24 (2006).",119,0,141,aplusplus,10.1038/nnano.2006.69,https://doi.org/10.1038/nnano.2006.69,,1,nnano,nature nanotechnology,,,,1159660800,2006-10-01,,压力迹象 ,https://www.nature.com/articles/nnano.2006.69,1
