contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,"Who, what, when, where, why",,[],True,[],"Who, what, when, where, why. Nature Nanotech3, 179 (2008).",164,6,1,aplusplus,10.1038/nnano.2008.72,https://doi.org/10.1038/nnano.2008.72,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.72,3
thesis,The literature of promises,,[],False,"[""Chris Toumey""]","Toumey, C. The literature of promises. Nature Nanotech3, 180–181 (2008).",28,6,5,aplusplus,10.1038/nnano.2008.74,https://doi.org/10.1038/nnano.2008.74,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.74,3
research highlights,"AFMs feel the force, quantum dots meet magnetic nanoparticles, solar cells turn to organic dyes, nanocarriers learn lessons from viruses, and more.",,[],True,[],"AFMs feel the force, quantum dots meet magnetic nanoparticles, solar cells turn to organic dyes, nanocarriers learn lessons from viruses, and more.. Nature Nanotech3, 182–183 (2008).",7,0,0,aplusplus,10.1038/nnano.2008.75,https://doi.org/10.1038/nnano.2008.75,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.75,3
research highlights,Top down bottom up: Golden share,,[],True,[],"Top down bottom up: Golden share. Nature Nanotech3, 183 (2008).",45,0,0,aplusplus,10.1038/nnano.2008.76,https://doi.org/10.1038/nnano.2008.76,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.76,3
news & views,Silicon falls into line,,[],True,"[""Stacey F. Bent""]","Bent, S. Silicon falls into line. Nature Nanotech3, 185–186 (2008).",27,0,6,aplusplus,10.1038/nnano.2008.79,https://doi.org/10.1038/nnano.2008.79,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.79,3
news & views,A most unusual crystal,,[],True,"[""Peter Rodgers""]","Rodgers, P. A most unusual crystal. Nature Nanotech3, 186 (2008).",15,0,1,aplusplus,10.1038/nnano.2008.82,https://doi.org/10.1038/nnano.2008.82,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.82,3
news & views,Seeing is believing,,[],True,"[""Latha Venkataraman""]","Venkataraman, L. Seeing is believing. Nature Nanotech3, 187–188 (2008).",48,0,2,aplusplus,10.1038/nnano.2008.81,https://doi.org/10.1038/nnano.2008.81,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.81,3
news & views,Molecular cranes swing into action,,[],True,"[""Anne-Sophie Duwez""]","Duwez, AS. Molecular cranes swing into action. Nature Nanotech3, 188–189 (2008).",20,0,5,aplusplus,10.1038/nnano.2008.80,https://doi.org/10.1038/nnano.2008.80,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.80,3
news & views,Watching electrons in real time,,[],True,"[""Bradley F. Habenicht"", ""Oleg V. Prezhdo""]","Habenicht, B., Prezhdo, O. Watching electrons in real time. Nature Nanotech3, 190–191 (2008).",29,0,8,aplusplus,10.1038/nnano.2008.78,https://doi.org/10.1038/nnano.2008.78,,4,nnano,nature nanotechnology,1206230400,2008-03-23,,https://www.nature.com/articles/nnano.2008.78,3
news & views,Are carbon nanotubes safe?,,[],True,"[""Yuliang Zhao"", ""Gengmei Xing"", ""Zhifang Chai""]","Zhao, Y., Xing, G. & Chai, Z. Are carbon nanotubes safe?. Nature Nanotech3, 191–192 (2008).",241,0,183,aplusplus,10.1038/nnano.2008.77,https://doi.org/10.1038/nnano.2008.77,,4,nnano,nature nanotechnology,1207008000,2008-04-01,,https://www.nature.com/articles/nnano.2008.77,3
