contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
research highlights,Gold nanoparticle source,,,[],True,"[""Oliver Graydon""]","Graydon, O. Gold nanoparticle source. Nature Photon10, 751 (2016).",23,5,0,aplusplus,10.1038/nphoton.2016.243,https://doi.org/10.1038/nphoton.2016.243,,12,nphoton,nature photonics,1480377600,2016-11-29,nanophotonics-and-plasmonics;x-rays,https://www.nature.com/articles/nphoton.2016.243,10
research highlights,Second-harmonic control,,,[],True,"[""Oliver Graydon""]","Graydon, O. Second-harmonic control. Nature Photon10, 751 (2016).",27,1,0,aplusplus,10.1038/nphoton.2016.244,https://doi.org/10.1038/nphoton.2016.244,,12,nphoton,nature photonics,1480377600,2016-11-29,nanophotonics-and-plasmonics;nonlinear-optics,https://www.nature.com/articles/nphoton.2016.244,10
research highlights,2D photon echo,,,[],True,"[""Noriaki Horiuchi""]","Horiuchi, N. 2D photon echo. Nature Photon10, 751 (2016).",296,0,0,aplusplus,10.1038/nphoton.2016.245,https://doi.org/10.1038/nphoton.2016.245,,12,nphoton,nature photonics,1480377600,2016-11-29,nonlinear-optics;spectroscopy;terahertz-optics,https://www.nature.com/articles/nphoton.2016.245,10
research highlights,Cooling dynamics,,,[],True,"[""Noriaki Horiuchi""]","Horiuchi, N. Cooling dynamics. Nature Photon10, 751 (2016).",22,0,0,aplusplus,10.1038/nphoton.2016.246,https://doi.org/10.1038/nphoton.2016.246,,12,nphoton,nature photonics,1480377600,2016-11-29,nanoparticles;nonlinear-optics;optical-manipulation-and-tweezers;optomechanics,https://www.nature.com/articles/nphoton.2016.246,10
research highlights,Kramers–Kronig receiver,,,[],True,"[""Gaia Donati""]","Donati, G. Kramers–Kronig receiver. Nature Photon10, 751 (2016).",355,0,1,aplusplus,10.1038/nphoton.2016.247,https://doi.org/10.1038/nphoton.2016.247,,12,nphoton,nature photonics,1480377600,2016-11-29,fibre-optics-and-optical-communications,https://www.nature.com/articles/nphoton.2016.247,10
news & views,Single-photon frequency shifting,,,"[{""address"": ""Eiichi Kuramochi and Masaya Notomi are at the Nanophotonics Center and NTT Basic Research Laboratories, NTT Corporation, Atsugi, Kanagawa 243-0198, Japan"", ""authors"": [""Eiichi Kuramochi"", ""\u00a0&\u00a0Masaya Notomi""]}]",False,"[""Eiichi Kuramochi"", ""Masaya Notomi""]","Kuramochi, E., Notomi, M. Single-photon frequency shifting. Nature Photon10, 752–753 (2016).",160,1,0,aplusplus,10.1038/nphoton.2016.238,https://doi.org/10.1038/nphoton.2016.238,,12,nphoton,nature photonics,1480377600,2016-11-29,integrated-optics;quantum-optics,https://www.nature.com/articles/nphoton.2016.238,10
news & views,Order in photosynthesis,,,[],True,"[""Gaia Donati""]","Donati, G. Order in photosynthesis. Nature Photon10, 753 (2016).",71,0,0,aplusplus,10.1038/nphoton.2016.242,https://doi.org/10.1038/nphoton.2016.242,,12,nphoton,nature photonics,1480377600,2016-11-29,biophotonics,https://www.nature.com/articles/nphoton.2016.242,10
news & views,The race for tandems,,,"[{""address"": ""Oliver Graydon is at Nature Photonics, The Macmillan Building, 4 Crinan Street, London N1 9XW, UK"", ""authors"": [""Oliver Graydon""]}]",False,"[""Oliver Graydon""]","Graydon, O. The race for tandems. Nature Photon10, 754–755 (2016).",25,5,4,aplusplus,10.1038/nphoton.2016.241,https://doi.org/10.1038/nphoton.2016.241,,12,nphoton,nature photonics,1480377600,2016-11-29,solar-energy-and-photovoltaic-technology,https://www.nature.com/articles/nphoton.2016.241,10
news & views,Whispers of absorption,,,"[{""address"": ""Matthew R. Foreman is in the Department of Physics, Imperial College London, South Kensington SW7 2AZ, UK"", ""authors"": [""Matthew R. Foreman""]}]",False,"[""Matthew R. Foreman""]","Foreman, M. Whispers of absorption. Nature Photon10, 755–757 (2016).",162,1,1,aplusplus,10.1038/nphoton.2016.237,https://doi.org/10.1038/nphoton.2016.237,,12,nphoton,nature photonics,1480377600,2016-11-29,microresonators;spectroscopy,https://www.nature.com/articles/nphoton.2016.237,10
letter,Ripplon laser through stimulated emission mediated by water waves,,,"[{""address"": ""Faculty of Mechanical Engineering, Technion, 32000, Haifa, Israel"", ""authors"": [""Samuel Kaminski"", "",\u00a0Leopoldo L. Martin"", "",\u00a0Shai Maayani"", ""\u00a0&\u00a0Tal Carmon""]}]",False,"[""Samuel Kaminski"", ""Leopoldo L. Martin"", ""Shai Maayani"", ""Tal Carmon""]","Kaminski, S., Martin, L., Maayani, S. et al. Ripplon laser through stimulated emission mediated by water waves. Nature Photon10, 758–761 (2016).",322,264,17,aplusplus,10.1038/nphoton.2016.210,https://doi.org/10.1038/nphoton.2016.210,,12,nphoton,nature photonics,1479686400,2016-11-21,microresonators;nonlinear-optics,https://www.nature.com/articles/nphoton.2016.210,10
