contentType,title,abstract,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
correspondence,Non-reciprocal propagation versus non-reciprocal control,,[],True,"[""Jacob B. Khurgin""]","Khurgin, J.B. Non-reciprocal propagation versus non-reciprocal control. Nat. Photonics14, 711 (2020).",1501,1,0,aplusplus,10.1038/s41566-020-00723-5,https://doi.org/10.1038/s41566-020-00723-5,,12,nphoton,nature photonics,1605830400,2020-11-20,nonlinear-optics;optoelectronic-devices-and-components,https://www.nature.com/articles/s41566-020-00723-5,14
correspondence,Reply to 'Non-reciprocal propagation versus non-reciprocal control',,[],True,"[""Eric A. Kittlaus""]","Kittlaus, E.A. Reply to ‘Non-reciprocal propagation versus non-reciprocal control’. Nat. Photonics14, 712 (2020).",936,0,0,aplusplus,10.1038/s41566-020-00724-4,https://doi.org/10.1038/s41566-020-00724-4,,12,nphoton,nature photonics,1605830400,2020-11-20,nonlinear-optics;silicon-photonics,https://www.nature.com/articles/s41566-020-00724-4,14
news & views,Exotic waves in multimode hollow-core fibres,,[],True,"[""Logan G. Wright"", ""Frank W. Wise""]","Wright, L.G., Wise, F.W. Exotic waves in multimode hollow-core fibres. Nat. Photonics14, 713–714 (2020).",1148,0,0,aplusplus,10.1038/s41566-020-00722-6,https://doi.org/10.1038/s41566-020-00722-6,,12,nphoton,nature photonics,1604361600,2020-11-03,high-harmonic-generation;nonlinear-optics;solitons;ultrafast-photonics,https://www.nature.com/articles/s41566-020-00722-6,14
news & views,Compact design delivers hard X-rays,,[],True,"[""Makina Yabashi""]","Yabashi, M. Compact design delivers hard X-rays. Nat. Photonics14, 715–716 (2020).",498,0,0,aplusplus,10.1038/s41566-020-00721-7,https://doi.org/10.1038/s41566-020-00721-7,,12,nphoton,nature photonics,1604880000,2020-11-09,free-electron-lasers,https://www.nature.com/articles/s41566-020-00721-7,14
news & views,Guiding light to non-classicality,,[],True,"[""Pablo Solano""]","Solano, P. Guiding light to non-classicality. Nat. Photonics14, 716–718 (2020).",962,0,0,aplusplus,10.1038/s41566-020-00719-1,https://doi.org/10.1038/s41566-020-00719-1,,12,nphoton,nature photonics,1605830400,2020-11-20,nonlinear-optics;quantum-optics;single-photons-and-quantum-effects,https://www.nature.com/articles/s41566-020-00719-1,14
letter,Correlating photons using the collective nonlinear response of atoms weakly coupled to an optical mode,"<p>Photons in a nonlinear medium can repel or attract each other, resulting in strongly correlated quantum many-body states. Typically, such correlated states of light arise from the extreme nonlinearity granted by quantum emitters that are strongly coupled to a photonic mode. However, unavoidable dissipation (such as photon loss) blurs nonlinear quantum effects when such approaches are used. Here, we generate strongly correlated photon states using only weak coupling and taking advantage of dissipation. An ensemble of non-interacting waveguide-coupled atoms induces correlations between simultaneously arriving photons through collectively enhanced nonlinear interactions. These correlated photons experience less dissipation than the uncorrelated ones. Depending on the number of atoms, we experimentally observe strong photon bunching or antibunching of the transmitted light. This realization of a collectively enhanced nonlinearity may turn out to be transformational for quantum information science and opens new avenues for generating non-classical light, covering frequencies from the microwave to the X-ray regime.</p>",[],False,"[""Adarsh S. Prasad"", ""Jakob Hinney"", ""Sahand Mahmoodian"", ""Klemens Hammerer"", ""Samuel Rind"", ""Philipp Schneeweiss"", ""Anders S. S\u00f8rensen"", ""J\u00fcrgen Volz"", ""Arno Rauschenbeutel""]","Prasad, A.S., Hinney, J., Mahmoodian, S. et al. Correlating photons using the collective nonlinear response of atoms weakly coupled to an optical mode. Nat. Photonics14, 719–722 (2020).",3632,49,2,aplusplus,10.1038/s41566-020-0692-z,https://doi.org/10.1038/s41566-020-0692-z,,12,nphoton,nature photonics,1600646400,2020-09-21,nonlinear-optics;quantum-optics;single-photons-and-quantum-effects,https://www.nature.com/articles/s41566-020-0692-z,14
letter,Transient optical symmetry breaking for ultrafast broadband dichroism in plasmonic metasurfaces,"<p>Ultrafast nanophotonics is an emerging research field aimed at the development of nanodevices capable of light modulation with unprecedented speed. A promising approach exploits the optical nonlinearity of nanostructured materials (either metallic or dielectric) to modulate their effective permittivity via interaction with intense ultrashort laser pulses. Although the ultrafast temporal dynamics of such nanostructures following photoexcitation has been studied in depth, sub-picosecond transient spatial inhomogeneities taking place at the nanoscale have been overlooked so far. Here, we demonstrate that the inhomogeneous spacetime distribution of photogenerated hot carriers induces a transient symmetry breaking in a highly symmetric plasmonic metasurface. The process is fully reversible and results in a broadband transient dichroism with a recovery of the initial isotropic state in less than 1&#8201;ps, overcoming the speed bottleneck caused by slower (electron&#8211;phonon and phonon&#8211;phonon) relaxation processes. Our results pave the way to ultrafast dichroic devices for high-speed modulation of light polarization.</p>",[],True,"[""Andrea Schirato"", ""Margherita Maiuri"", ""Andrea Toma"", ""Silvio Fugattini"", ""Remo Proietti Zaccaria"", ""Paolo Laporta"", ""Peter Nordlander"", ""Giulio Cerullo"", ""Alessandro Alabastri"", ""Giuseppe Della Valle""]","Schirato, A., Maiuri, M., Toma, A. et al. Transient optical symmetry breaking for ultrafast broadband dichroism in plasmonic metasurfaces. Nat. Photonics14, 723–727 (2020).",3459,104,2,aplusplus,10.1038/s41566-020-00702-w,https://doi.org/10.1038/s41566-020-00702-w,,12,nphoton,nature photonics,1603065600,2020-10-19,nanophotonics-and-plasmonics;spectroscopy;ultrafast-photonics,https://www.nature.com/articles/s41566-020-00702-w,14
letter,Lightwave control of topological properties in 2D materials for sub-cycle and non-resonant valley manipulation,"<p>Modern light generation technology offers extraordinary capabilities for sculpting light pulses, with full control over individual electric field oscillations within each laser cycle. These capabilities are at the core of lightwave electronics&#8212;the dream of ultrafast lightwave control over electron dynamics in solids on a sub-cycle timescale, aiming at information processing at petahertz rates. Here, bringing the frequency-domain concept of topological Floquet systems to the few-femtosecond time domain, we develop a theoretical method that can be implemented with existing technology, to control the topological properties of two-dimensional materials on few-femtosecond timescales by controlling the sub-cycle structure of non-resonant driving fields. We use this method to propose an all-optical, non-element-specific technique, physically transparent in real space, to coherently write, manipulate and read selective valley excitation using fields carried in a wide range of frequencies and on timescales that are orders of magnitude shorter than the valley lifetime, crucial for the implementation of valleytronic devices.</p>",[],False,"[""\u00c1. Jim\u00e9nez-Gal\u00e1n"", ""R. E. F. Silva"", ""O. Smirnova"", ""M. Ivanov""]","Jiménez-Galán, Á., Silva, R.E.F., Smirnova, O. et al. Lightwave control of topological properties in 2D materials for sub-cycle and non-resonant valley manipulation. Nat. Photonics14, 728–732 (2020).",2533,6,0,aplusplus,10.1038/s41566-020-00717-3,https://doi.org/10.1038/s41566-020-00717-3,,12,nphoton,nature photonics,1605484800,2020-11-16,high-harmonic-generation;nonlinear-optics;ultrafast-photonics,https://www.nature.com/articles/s41566-020-00717-3,14
article,High-energy multidimensional solitary states in hollow-core fibres,"<p>Multidimensional solitary states (MDSS)&#8212;self-sustained wavepackets&#8212;have attracted renewed interest in many different fields of physics. They are of particular importance in nonlinear optics, especially for the nonlinear propagation of ultrashort pulses in multimode fibres, which contain rich spatiotemporal intermodal interactions and dynamics, albeit often in an unstable manner. Here, we report the observation of the formation of highly stable multidimensional solitary states in a molecular gas-filled large-core hollow-core fibre. We experimentally and numerically demonstrate the creation of MDSS by multimillijoule, subpicosecond near-infrared pulses and the underlying physics. We find that the MDSS have a broadband redshifted spectra with an uncommon negative quadratic spectral phase at the output of the hollow-core fibre, originating from Raman enhancement due to the strong intermodal nonlinear interactions. The spatial and temporal localization of MDSS enables the compression of the broadened pulses at the output to 10.8&#8201;fs by simple linear propagation in a piece of fused silica. The high spatiotemporal quality of MDSS is further verified by high-harmonic generation. Our results present new opportunities for studying multimodal spatiotemporal dynamics in the high-energy regime. This work also presents a route toward a new class of compact, tunable and high-energy spatiotemporally engineered coherent light sources based on picosecond ytterbium technology.</p>",[],False,"[""Reza Safaei"", ""Guangyu Fan"", ""Ojoon Kwon"", ""Katherine L\u00e9gar\u00e9"", ""Philippe Lassonde"", ""Bruno E. Schmidt"", ""Heide Ibrahim"", ""Fran\u00e7ois L\u00e9gar\u00e9""]","Safaei, R., Fan, G., Kwon, O. et al. High-energy multidimensional solitary states in hollow-core fibres. Nat. Photonics14, 733–739 (2020).",2308,73,1,aplusplus,10.1038/s41566-020-00699-2,https://doi.org/10.1038/s41566-020-00699-2,,12,nphoton,nature photonics,1603670400,2020-10-26,high-harmonic-generation;nonlinear-optics;solitons;ultrafast-photonics,https://www.nature.com/articles/s41566-020-00699-2,14
article,Broadband Mie driven random quasi-phase-matching,"<p>High-quality crystals without inversion symmetry are the conventional platform to achieve optical frequency conversion via three-wave mixing. In bulk crystals, efficient wave mixing relies on phase-matching configurations, while at the micro- and nanoscale it requires resonant mechanisms that enhance the nonlinear light&#8211;matter interaction. These strategies commonly result in wavelength-specific performances and narrowband applications. Disordered photonic materials, made up of a random assembly of optical nonlinear crystals, enable a broadband tunability in the random quasi-phase-matching regime and do not require high-quality materials. Here, we combine resonances and disorder by implementing random quasi-phase-matching in Mie resonant spheres of a few micrometres realized by the bottom-up assembly of barium titanate nanocrystals. The measured second-harmonic generation reveals a combination of broadband and resonant wave mixing, in which Mie resonances drive and enhance the second-harmonic generation, while the disorder keeps the phase-matching conditions relaxed. Our nanocrystal assemblies provide new opportunities for tailored phase matching at the microscale, beyond the coherence length of the bulk crystal. They can be adapted to achieve frequency conversion from the near-ultraviolet to the infrared ranges, are low cost and can cover large surface areas.</p>",[],False,"[""Romolo Savo"", ""Andrea Morandi"", ""Jolanda S. M\u00fcller"", ""Fabian Kaufmann"", ""Flavia Timpu"", ""Marc Reig Escal\u00e9"", ""Michele Zanini"", ""Lucio Isa"", ""Rachel Grange""]","Savo, R., Morandi, A., Müller, J.S. et al. Broadband Mie driven random quasi-phase-matching. Nat. Photonics14, 740–747 (2020).",3381,123,1,aplusplus,10.1038/s41566-020-00701-x,https://doi.org/10.1038/s41566-020-00701-x,,12,nphoton,nature photonics,1602460800,2020-10-12,micro-optics;nanoparticles;nonlinear-optics;optical-materials-and-structures,https://www.nature.com/articles/s41566-020-00701-x,14
