contentType,title,abstract,abstract_google_cn,affiliations,authorization,authors,citation_text,count_accesses,count_altmetric,count_citations,documentType,doi,doi_url,focus,issue,journal_pcode,journal_title,publishedAt,publishedAtString,subjects,url,volume
editorial,Something to look forward to,,,[],True,[],"Something to look forward to. Nature Phys5, 369 (2009).",45,0,0,aplusplus,10.1038/nphys1287,https://doi.org/10.1038/nphys1287,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1287,5
editorial,What did you do?,,,[],True,[],"What did you do?. Nature Phys5, 369 (2009).",973,6,0,aplusplus,10.1038/nphys1305,https://doi.org/10.1038/nphys1305,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1305,5
commentary,Fusion–fission hybrids revisited,,,"[{'address': 'Jeffrey P. Freidberg and Andrew C. Kadak are in the Department of Nuclear Science and Engineering, Massachusetts Institute of Technology, 77 Massachusetts Avenue, Cambridge, Massachusetts 02139-4307, USA', 'authors': ['Jeffrey P. Freidberg', '\xa0&\xa0Andrew C. Kadak']}]",False,"['Jeffrey P. Freidberg', 'Andrew C. Kadak']","Freidberg, J., Kadak, A. Fusion–fission hybrids revisited. Nature Phys5, 370–372 (2009).",116,0,31,aplusplus,10.1038/nphys1288,https://doi.org/10.1038/nphys1288,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1288,5
thesis,Attack of the cyberspider,,,[],True,['Mark Buchanan'],"Buchanan, M. Attack of the cyberspider. Nature Phys5, 373 (2009).",20,0,0,aplusplus,10.1038/nphys1289,https://doi.org/10.1038/nphys1289,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1289,5
books & arts,Isn't it demonic,,,[],False,['Alison Wright'],"Wright, A. Isn't it demonic. Nature Phys5, 374–375 (2009).",10,0,0,aplusplus,10.1038/nphys1290,https://doi.org/10.1038/nphys1290,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1290,5
books & arts,Boldly going...where?,,,"[{'address': 'Edmund Jackson is chief engineer aboard a quantitative hedge fund.', 'authors': ['Edmund Jackson']}]",True,['Edmund Jackson'],"Jackson, E. Boldly going... where?. Nature Phys5, 375 (2009).",7,0,0,aplusplus,10.1038/nphys1291,https://doi.org/10.1038/nphys1291,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1291,5
research highlights,Our choice from the recent literature,,,[],True,[],"Our choice from the recent literature. Nature Phys5, 376 (2009).",4,0,0,aplusplus,10.1038/nphys1292,https://doi.org/10.1038/nphys1292,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1292,5
news & views,Cells guided on their journey,,,"[{'address': 'Benoit Ladoux is at the Laboratoire Matière et Systèmes Complexes (MSC), Université Paris Diderot, and CNRS, UMR 7057, Paris, France. benoit.ladoux@univ-paris-diderot.fr', 'authors': ['Benoit Ladoux']}]",False,['Benoit Ladoux'],"Ladoux, B. Cells guided on their journey. Nature Phys5, 377–378 (2009).",75,0,14,aplusplus,10.1038/nphys1281,https://doi.org/10.1038/nphys1281,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1281,5
news & views,The next generation,,,"[{'address': 'Joel Moore is in the Department of Physics, and the Materials Sciences Division, University of California, Lawrence Berkeley National Laboratory, Berkeley, California 94720, USA. jemoore@berkeley.edu', 'authors': ['Joel Moore']}]",False,['Joel Moore'],"Moore, J. The next generation. Nature Phys5, 378–380 (2009).",1342,3,300,aplusplus,10.1038/nphys1294,https://doi.org/10.1038/nphys1294,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1294,5
news & views,An afternoon's outing,,,[],True,['Alison Wright'],"Wright, A. An afternoon's outing. Nature Phys5, 380 (2009).",12,0,0,aplusplus,10.1038/nphys1280,https://doi.org/10.1038/nphys1280,,6,nphys,nature physics,1243814400,2009-06-01,,https://www.nature.com/articles/nphys1280,5
