doi,title,title_cn,abstract,abstract_cn,affiliations,affiliations_cn
10.1038/lsa.2015.1,In-channel integration of designable microoptical devices using flat scaffold-supported femtosecond-laser microfabrication for coupling-free optofluidic cell counting,使用扁平支架支撑的飞秒激光微加工技术对可设计微光学器件进行通道内集成，以实现无耦合的光流细胞计数 ,"<p>The high-precision integration of three-dimensional (3D) microoptical components into microfluidics in a customizable manner is crucial for optical sensing, fluorescence analysis, and cell detection in optofluidic applications; however, it remains challenging for current microfabrication technologies. This paper reports the in-channel integration of flexible two-dimensional (2D) and 3D polymer microoptical devices into glass microfluidics by developing a novel technique: flat scaffold-supported hybrid femtosecond laser microfabrication (FSS-HFLM). The scaffold with an optimal thickness of 1&#8211;5&#8197;&#181;m is fabricated on the lower internal surface of a microfluidic channel to improve the integration of high-precision microoptical devices on the scaffold by eliminating any undulated internal channel surface caused by wet etching. As a proof of demonstration, two types of typical microoptical devices, namely, 2D Fresnel zone plates (FZPs) and 3D refractive microlens arrays (MLAs), are integrated. These devices exhibit multicolor focal spots, elongated (&gt;three times) focal length and imaging of the characters &#8216;RIKEN&#8217; in a liquid channel. The resulting optofluidic chips are further used for coupling-free white-light cell counting with a success rate as high as 93%. An optofluidic system with two MLAs and a W-filter is also designed and fabricated for more advanced cell filtering/counting applications.</p>",<p>以可定制的方式将三维（3D）微光学组件高精度集成到微流体中，对于光流体应用中的光学传感，荧光分析和细胞检测至关重要；然而，对于当前的微细加工技术仍然具有挑战性。本文通过开发一种新技术：平板支架支撑的混合飞秒激光微制造（FSS-HFLM），报告了将柔性二维（2D）和3D聚合物微光学器件在通道内集成到玻璃微流体中的方法。在微流体通道的下内表面上制造最佳厚度为1＆＃8211; 5＆＃8197;＆＃181; m的支架，以通过消除任何起伏的内部通道来提高高精度微光学设备在支架上的集成度表面因湿法蚀刻而产生。作为演示的证明，将两种类型的典型微光学器件集成在一起，即2D菲涅耳波带片（FZP）和3D折射微透镜阵列（MLA）。这些装置表现出多色焦点，拉长（＞三倍）的焦距和字符“ RIKEN”的成像。在液体通道中。所得的光流体芯片进一步用于无耦合白光电池计数，成功率高达93％。还设计和制造了具有两个MLA和一个W滤波器的光流体系统，用于更高级的细胞过滤/计数应用。</ p> ,"[{'address': 'Laser Technology Laboratory, RIKEN, Saitama 351-0198, Japan', 'authors': ['Dong Wu', ',\xa0Jian Xu', ',\xa0Si-Zhu Wu', ',\xa0Katsumi Midorikawa', '\xa0&\xa0Koji Sugioka']}, {'address': 'State Key Laboratory on Integrated Optoelectronics, College of Electronic Science and Engineering, Jilin University, Changchun 130012, China', 'authors': ['Li-Gang Niu', '\xa0&\xa0Si-Zhu Wu']}]",[{'地址'：'激光技术实验室，日本Sa玉市351-0198，'作者'：['东吴'，'，\ xa0简旭'，'，'xa0Si-Zhu Wu'，'，\ xa0Katsumi Midorikawa'，'\ xa0＆\ xa0Koji Sugioka']}，{'address'：“吉林大学电子科学与工程学院集成光电国家重点实验室，长春130012”，“作者”：['Li -Gang Niu'，'\ xa0＆\ xa0Si-Zhu Wu']}] 
10.1038/lsa.2015.3,Subdiffraction optical manipulation of the charge state of nitrogen vacancy center in diamond,金刚石中氮空位中心的电荷状态的亚衍射光学操纵 ,"<p>As a potential candidate for quantum computation and metrology, the nitrogen vacancy (NV) center in diamond presents both challenges and opportunities resulting from charge-state conversion. By utilizing different lasers for the photon-induced charge-state conversion, we achieved subdiffraction charge-state manipulation. The charge-state depletion (CSD) microscopy resolution was improved to 4.1&#8197;nm by optimizing the laser pulse sequences. Subsequently, the electron spin-state dynamics of adjacent NV centers were selectively detected via the CSD. The experimental results demonstrated that the CSD can improve the spatial resolution of the measurement of NV centers for nanoscale sensing and quantum information.</p>",<p>作为量子计算和计量学的潜在候选者，钻石中的氮空位（NV）中心既带来了挑战，又带来了电荷态转换带来的机遇。 通过利用不同的激光器进行光子诱导的电荷状态转换，我们实现了亚衍射电荷状态操纵。 通过优化激光脉冲序列，电荷状态耗竭（CSD）显微镜分辨率提高到4.1纳米。 随后，通过CSD有选择地检测相邻NV中心的电子自旋态动力学。 实验结果表明，CSD可以提高NV中心用于纳米级传感和量子信息测量的空间分辨率。</ p> ,"[{'address': 'Key Lab of Quantum Information, University of Science and Technology of China, Hefei 230026, China', 'authors': ['Xiangdong Chen', ',\xa0Changling Zou', ',\xa0Zhaojun Gong', ',\xa0Chunhua Dong', ',\xa0Guangcan Guo', '\xa0&\xa0Fangwen Sun']}, {'address': 'Synergetic Innovation Center of Quantum Information and Quantum Physics, University of Science and Technology of China, Hefei 230026, China', 'authors': ['Xiangdong Chen', ',\xa0Changling Zou', ',\xa0Zhaojun Gong', ',\xa0Chunhua Dong', ',\xa0Guangcan Guo', '\xa0&\xa0Fangwen Sun']}]",[{'地址'：'中国科学技术大学量子信息重点实验室，合肥230026'，'作者'：['Xiangdong Chen'，'，\ xa0Changling Zou'，'，\ xa0Zhaojun Gong' ，'，\ xa0Chunhua Dong'，'，\ xa0Guangcan Guo'，'\ xa0＆\ xa0Fangwen Sun']}，{'address'：'中国科学技术大学量子信息与量子物理协同创新中心，合肥 230026，中国”，“作者”：['陈向东'，'，\ xa0邹长灵'，'，'xa0Zhaojun Gong'，'，\ xa0Chunhua Dong'，'，\ xa0Guangcan Guo'，'\ xa0＆\ xa0Fangwen Sun” ]}] 
10.1038/lsa.2015.5,Highly efficient hybrid warm white organic light-emitting diodes using a blue thermally activated delayed fluorescence emitter: exploiting the external heavy-atom effect,使用蓝色热激活延迟荧光发射器的高效混合暖白色有机发光二极管：利用外部重原子效应 ,"<p>To attain high efficiencies in hybrid white organic light-emitting diodes (WOLEDs), mutual quenching of the fluorophors and phosphors should be minimized. Efforts have been devoted to reducing the triplet quenching of phosphors; however, the quenching of fluorophors by the external heavy-atom effect (EHA) introduced by the phosphors is often ignored. Here, we observed that conventional fluorophors and fluorophors with thermally activated delayed fluorescence (TADF) behave differently in the presence of EHA perturbers. The efficiencies of the conventional fluorophors suffer greatly from the EHA, whereas the TADF fluorophors exhibit negligible changes, which makes TADF materials ideal fluorophors for hybrid devices. WOLEDs using a blue TADF fluorophor and an orange phosphor achieve a maximum forward viewing external quantum efficiency of 19.6% and a maximum forward viewing power efficiency of 50.2&#8197;lm&#8197;W<sup>&#8722;1</sup>, among the best values for hybrid WOLEDs. This report is the first time that the EHA effect has been considered in hybrid WOLEDs and that a general strategy toward highly efficient hybrid WOLEDs with simple structures is proposed.</p>",<p>为在混合白色有机发光二极管（WOLED）中获得高效率，应将荧光体和磷光体的相互猝灭减至最小。已经致力于减少磷光体的三重态猝灭。然而，由于荧光粉引入的外部重原子效应（EHA）而导致的荧光团猝灭通常被忽略。在这里，我们观察到常规荧光团和具有热激活延迟荧光（TADF）的荧光团在存在EHA干扰物的情况下表现不同。常规荧光体的效率受EHA的影响很大，而TADF荧光体的变化可忽略不计，这使TADF材料成为混合设备的理想荧光体。使用蓝色TADF荧光团和橙色磷光体的WOLED的最大前向观看外部量子效率为19.6％，最大前向观看功率效率为50.2＆＃8197; lm＆＃8197; W <sup>＆＃8722; 1 </ sup >，这是混合WOLED的最佳价值。该报告是首次在混合WOLED中考虑EHA效应，并提出了一种结构简单，高效的混合WOLED通用策略。</ p> ,"[{'address': 'Department of Chemistry, Key Lab of Organic Optoelectronics and Molecular Engineering of Ministry of Education, Tsinghua University, Beijing 100084, China', 'authors': ['Dongdong Zhang', ',\xa0Lian Duan', ',\xa0Yunge Zhang', ',\xa0Minghan Cai', ',\xa0Deqiang Zhang', '\xa0&\xa0Yong Qiu']}]",[{'地址'：'清华大学化学系，有机光电子与分子工程教育部重点实验室，北京100084'，'作者'：['东东张'，'，\ xa0Lian段'， '，\ xa0Yunge Zhang'，'，\ xa0Minghan Cai'，'，\ xa0Deqiang Zhang'，'\ xa0＆\ xa0Yong Qiu']}]] 
10.1038/lsa.2015.7,Integrated colloidal quantum dot photodetectors with color-tunable plasmonic nanofocusing lenses,集成的胶体量子点光电探测器与颜色可调等离子体纳米聚焦透镜 ,"<p>High-sensitivity photodetection is at the heart of many optoelectronic applications, including spectroscopy, imaging, surveillance, remote sensing and medical diagnostics. Achieving the highest possible sensitivity for a given photodetector technology requires the development of ultra-small-footprint detectors, as the noise sources scale with the area of the detector. This must be accomplished while sacrificing neither the optically active area of the detector nor its responsivity. Currently, such designs are based on diffraction-limited approaches using optical lenses. Here, we employ a plasmonic flat-lens bull&#8217;s eye structure (BES) to concentrate and focus light into a nanoscale colloidal quantum dot (CQD) photodetector. The plasmonic lenses function as nanofocusing resonant structures that simultaneously offer color selectivity and enhanced sensitivity. Herein, we demonstrate the first CQD photodetector with a nanoscale footprint, the optically active area of which is determined by the BES; this detector represents an exciting opportunity for high-sensitivity sensing.</p>",<p>高灵敏度光电检测是许多光电应用的核心，包括光谱学，成像，监视，遥感和医学诊断。为实现给定的光电探测器技术尽可能高的灵敏度，需要开发超小尺寸的探测器，因为噪声源会随探测器的面积而变化。这必须在不牺牲检测器的光学有效面积及其响应度的前提下完成。当前，这样的设计基于使用光学透镜的衍射限制方法。在这里，我们采用等离激元平面透镜的牛眼结构（BES）将光集中并聚焦到纳米级胶体量子点（CQD）光电探测器中。等离子透镜起着纳米聚焦共振结构的作用，同时提供颜色选择性和增强的灵敏度。在这里，我们演示了第一个具有纳米级足迹的CQD光电探测器，其光学有效面积由BES确定；该检测器为高灵敏度传感提供了令人兴奋的机会。</ p> ,"[{'address': 'ICFO – Institut de Ciències Fotòniques, Barcelona 08860, Spain', 'authors': ['Silke L Diedenhofen', ',\xa0Dominik Kufer', '\xa0&\xa0Tania Lasanta']}, {'address': 'ICFO – Institut de Ciències Fotòniques, Av. Carl Friedrich Gauss 3, Mediterranean Technology Park, Castelldefels, Barcelona 08860, Spain', 'authors': ['Gerasimos Konstantatos']}]",[{''地址'：'ICFO-西班牙联邦理工学院，巴塞罗那08860'，'作者'：['Silke L Diedenhofen'，'，\ xa0Dominik Ku​​fer'，'\ xa0和\ xa0Tania Lasanta']}，{地址：ICFO-光子科学研究所 卡尔·弗里德里希·高斯（Carl Friedrich Gauss 3），地中海科技园，卡斯特尔德费尔斯，巴塞罗那08860，西班牙'，'作者'：['Gerasimos Konstantatos']} 
10.1038/lsa.2015.10,Laser-induced white-light emission from graphene ceramics–opening a band gap in graphene,石墨烯陶瓷的激光诱导白光发射-在石墨烯中打开带隙 ,"<p>Recent theoretical and experimental studies have indicated the existence of a new stable phase of carbon with mixed sp<sup>2</sup> and sp<sup>3</sup> hybridized bonds&#8212;diaphite. Such a two-layered structure with sp<sup>2</sup>/sp<sup>3</sup> bonds may be observed after the photostimulation of highly oriented pyrolytic graphene with femtosecond laser pulses. This hidden multistability of graphene may be used to create a semiconducting phase immersed in the semimetallic continuum, resulting in bandgap opening. We demonstrate that bandgap opening and light emission from graphene is possible using continuous-wave laser beams with wavelengths from the visible (405&#8197;nm) to the near-infrared range (975&#8197;nm). We demonstrate that without the application of cooling, the effective temperature of the emitting sample remains lower than 900&#8197;K, which is far below the value predicted by the theory of black-body radiation. Moreover, light emission from a graphene sample may be observed at temperatures as low as 10&#8197;K.</p>",<p>最近的理论和实验研究表明，存在具有混合的sp <sup> 2 </ sup>和sp <sup> 3 </ sup>杂化键的碳的新稳定相。这种具有sp <sup> 2 </ sup> / sp <sup> 3 </ sup>键的两层结构可能在飞秒激光脉冲对高度取向的热解石墨烯进行光刺激后观察到。石墨烯的这种隐藏的多稳定性可用于创建浸入半金属连续体中的半导体相，从而导致带隙开口。我们证明了使用波长从可见光（405＆＃8197; nm）到近红外范围（975＆＃8197; nm）的连续波激光束可以打开带隙并从石墨烯发出光。我们证明了在不应用冷却的情况下，发射样品的有效温度仍低于900℃，这远低于黑体辐射理论预测的值。此外，可以在低至10 K K的温度下观察到石墨烯样品的发光。</ p> ,"[{'address': 'Polish Academy of Sciences, Institute of Low Temperatures and Structural Research, 50-422 Wroclaw, Poland', 'authors': ['Wieslaw Strek', ',\xa0Bartlomiej Cichy', ',\xa0Pawel Gluchowski', ',\xa0Lukasz Marciniak', ',\xa0Mikolaj Lukaszewicz', '\xa0&\xa0Dariusz Hreniak']}, {'address': 'Wroclaw University of Technology, Group of Chemical and Biochemical Processes, 50-370 Wroclaw, Poland', 'authors': ['Lukasz Radosinski']}]",[{'address'：'波兰科学院低温与结构研究所，波兰弗罗茨瓦夫50-422'，'authors'：['Wieslaw Strek'，'，\ xa0Bartlomiej Cichy'，'，\ xa0Pawel Gluchowski '，'，\ xa0Lukasz Marciniak'，'，\ xa0Mikolaj Lukaszewicz'，'\ xa0＆\ xa0Dariusz Hreniak']}，{'address'：'弗罗茨瓦夫工业大学化学与生物化学过程组，波兰弗罗茨瓦夫50-370 '，'authors'：['Lukasz Radosinski']}] 
10.1038/lsa.2015.12,Observation of efficient population of the red-emitting state from the green state by non-multiphonon relaxation in the Er3+–Yb3+ system,通过Er3 + –Yb3 +系统中的非多声子弛豫观察从绿色状态到红色发射状态的有效填充 ,"<p>The rare earth Er<sup>3+</sup> and Yb<sup>3+</sup> codoped system is the most attractive for showcasing energy transfer upconversion. This system can generate green and red emissions from Er<sup>3+</sup> under infrared excitation of the sensitizer Yb<sup>3+</sup>. It is well known that the red-emitting state can be populated from the upper green-emitting state. The contribution of multiphonon relaxation to this population is generally considered important at low excitation densities. Here, we demonstrate for the first time the importance of a previously proposed but neglected mechanism described as a cross relaxation energy transfer from Er<sup>3+</sup> to Yb<sup>3+</sup>, followed by an energy back transfer within the same Er<sup>3+</sup>&#8211;Yb<sup>3+</sup> pair. A luminescence spectroscopy study of cubic Y<sub>2</sub>O<sub>3</sub>:Er<sup>3+</sup>, Yb<sup>3+</sup> indicates that this mechanism can be more efficient than multiphonon relaxation, and it can even make a major contribution to the red upconversion. The study also revealed that the energy transfers involved in this mechanism take place only in the nearest Er<sup>3+</sup>&#8211;Yb<sup>3+</sup> pairs, and thus, it is fast and efficient at low excitation densities. Our results enable a better understanding of upconversion processes and properties in the Er<sup>3+</sup>&#8211;Yb<sup>3+</sup> system.</p>",<p>稀土Er <sup> 3 + </ sup>和Yb <sup> 3 + </ sup>共掺杂体系对展示能量转移上转换最有吸引力。该系统可以在敏化剂Yb <sup> 3 + </ sup>的红外激发下从Er <sup> 3 + </ sup>产生绿色和红色发射。众所周知，可以从上部的绿色发光状态开始填充红色的发光状态。在低激发密度下，通常认为多声子弛豫对此种群的贡献很重要。在这里，我们首次证明了先前提出但被忽略的机制的重要性，这种机制被描述为从Er <sup> 3 + </ sup>到Yb <sup> 3 + </ sup>的交叉弛豫能量转移。同一Er <sup> 3 + </ sup>＆＃8211; Yb <sup> 3 + </ sup>对中的能量回传。立方Y <sub> 2 </ sub> O <sub> 3 </ sub>：Er <sup> 3 + </ sup>，Yb <sup> 3 + </ sup>的发光光谱研究表明该机理可以比多声子弛豫更为有效，甚至可以为红色上转换做出重要贡献。研究还表明，参与该机制的能量转移仅发生在最近的Er <sup> 3 + </ sup>＆＃8211; Yb <sup> 3 + </ sup>对中，因此速度很快在低激发密度下高效。我们的结果可以更好地理解Er <sup> 3 + </ sup>＆＃8211; Yb <sup> 3 + </ sup>系统中的上转换过程和属性。</ p> ,"[{'address': 'State Key Laboratory of Luminescence and Applications, Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences, Changchun, China', 'authors': ['Jiahua Zhang', ',\xa0Zhendong Hao', ',\xa0Jing Li', ',\xa0Xia Zhang', ',\xa0Yongshi Luo', '\xa0&\xa0Guohui Pan']}]",[{'地址'：'中国科学院长春光学精密机械与物理研究所，发光与应用国家重点实验室，'作者'：['Jiahua Zhang'，'，\ xa0Zhaodong Hao '，'，\ xa0Jing Li'，'，\ xa0Xia Zhang'，'，\ xa0Yongshi Luo'，'\ xa0＆\ xa0Guohui Pan']}]] 
10.1038/lsa.2015.14,Quantum nonlocal effects in individual and interacting graphene nanoribbons,单个和相互作用的石墨烯纳米带中的量子非局部效应 ,"<p>We show that highly doped graphene ribbons can support surface plasmons at near-infrared frequencies when their width is in the nanometer range, leading to important nonlocal and finite quantum-size corrections, such as sizable blueshifts. The magnitude of these effects is assessed by comparing classical and quantum-mechanical models to describe graphene plasmons. More precisely, we examine individual and interacting 6&#8211;8&#8197;nm wide zigzag and armchair ribbons doped to 0.4&#8211;1.5&#8197;eV Fermi energies. We find a strong influence of nonlocal effects on the orientation of graphene edges, with plasmons in zigzag ribbons undergoing strong quenching when their energy is below the Fermi level. Nonlocality is also affecting the hybridization between ribbon plasmons in dimers and arrays for separations below a few nanometers. Remarkably, the removal of a single row of atomic bonds in a ribbon produces a strong plasmon frequency shift, whereas the removal of bonds along an array of rows separated by several nanometers in an extended sheet causes a dramatic increase in the absorption. Besides the fundamental interest of these results, our work supports the use of narrow ribbons to achieve electro-optical modulation in the near infrared.</p>",<p>我们表明，当高掺杂石墨烯带的宽度在纳米范围内时，它们可以在近红外频率上支持表面等离激元，从而导致重要的非局部和有限的量子尺寸校正，例如较大的蓝移。通过比较经典模型和量子力学模型来描述石墨烯等离激元，可以评估这些影响的程度。更准确地说，我们研究了掺杂有0.4和＃1.5 e＃Fermi能量的单个和相互作用的6和8纳米宽的曲折和扶手椅状带。我们发现非局部效应对石墨烯边缘的取向有很大的影响，当之字形带中的等离激元能量低于费米能级时，它们的等离激元会受到强烈的淬灭。非局部性还影响二聚体中的带状等离激元和阵列之间的杂交，以分离几纳米以下的分子。值得注意的是，除去带中的单行原子键会产生强烈的等离激元频率偏移，而沿延伸的薄片中沿几纳米分开的行的键的除去会引起吸收的急剧增加。除了这些结果的根本意义外，我们的工作还支持使用窄带在近红外中实现电光调制。</ p> ,"[{'address': 'ICFO-Institut de Ciencies Fotoniques, Mediterranean Technology Park, 08860 Castelldefels (Barcelona), Spain', 'authors': ['Iván Silveiro', ',\xa0Juan Manuel Plaza Ortega', '\xa0&\xa0F Javier García de Abajo']}, {'address': 'ICREA-Institució Catalana de Recerca i Estudis Avançats, Passeig Lluís Companys 23, 08010 Barcelona, Spain', 'authors': ['F Javier García de Abajo']}]",[{'address'：'ICFO Institutes Citrons Fotoniques，地中海科技园，08860 Castelldefels（巴塞罗那），西班牙'，'作者'：['IvánSilveiro'，'，\ xa0Juan Manuel Plaza Ortega'，'\ xa0＆ \ xa0F JavierGarcíade Abajo']}，{'address'：'ICREA-InstitucióCatalana de Recerca i EstudisAvançats，PasseigLluísCompanys 23，08010 Barcelona，西班牙，'作者'：[[F JavierGarcíade Abajojo ']}] 
10.1038/lsa.2015.16,High refractive index of melanin in shiny occipital feathers of a bird of paradise,天堂鸟闪亮的枕骨羽毛中黑色素的高折射率 ,"<p>Male Lawes's Parotia, a bird of paradise, use the highly directional reflection of the structurally colored, brilliant-silvery occipital feathers in their courtship display. As in other birds, the structural coloration is produced by ordered melanin pigmentation. The barbules of the Parotia's occipital feathers, with thickness &#8764;3&#8197;&#181;m, contain 6&#8211;7 layers of densely packed melanin rodlets (diameter &#8764;0.25&#8197;&#181;m, length &#8764;2&#8197;&#181;m). The effectively &#8764;0.2&#8197;&#181;m thick melanin layers separated by &#8764;0.2&#8197;&#181;m thick keratin layers create a multilayer interference reflector. Reflectance measurements yielded peak wavelengths in the near-infrared at &#8764;1.3&#8197;&#181;m, i.e., far outside the visible wavelength range. With the Jamin-Lebedeff interference microscopy method recently developed for pigmented media, we here determined the refractive index of the intact barbules. We thus derived the wavelength dependence of the refractive index of the barbules' melanin to be 1.7&#8211;1.8 in the visible wavelength range. Implementing the anatomical and refractive index data in an optical multilayer model, we calculated the barbules' reflectance, transmittance and absorptance spectra, thereby confirming measured spectra.</p>",<p>雄性劳斯氏鹦鹉（Parotia）是天堂鸟，在求偶展示中使用结构色彩鲜艳，银白色枕叶的高度定向反射。与其他鸟类一样，结构色是由有序的黑色素着色产生的。厚度为＆＃8764; 3＆＃8197;＆＃181; m的Parotia枕叶的小管包含6层7层密集包装的黑色素小柱（直径为＃8764; 0.25＆＃8197;＃181 ; m，长度＆＃8764; 2＆＃8197;＆＃181; m）。有效的0.2微米厚的黑色素层被0.2微米厚的角蛋白层隔开，可形成多层干涉反射器。反射率测量产生的近红外峰值波长为＆＃8764; 1.3＆＃8197;＆＃181; m，即远远超出可见波长范围。使用最近针对色素介质开发的Jamin-Lebedeff干涉显微镜方法，我们在这里确定了完整小球的折射率。因此，我们得出了在可见光波长范围内，小肠黑色素折射率的波长依赖性为1.7＆＃8211; 1.8。通过在光学多层模型中实现解剖和折射率数据，我们计算了小肠的反射率，透射率和吸收率光谱，从而确定了测得的光谱。</ p> ,"[{'address': 'Computational Physics, University of Groningen, 9747 AG, The Netherlands', 'authors': ['Doekele G Stavenga', ',\xa0Hein L Leertouwer', '\xa0&\xa0Bodo D Wilts']}, {'address': 'School of Life Sciences, University of Sussex, Brighton, BN1 9QG, UK', 'authors': ['Daniel C Osorio']}]",[{'地址'：'计算物理，荷兰格罗宁根大学，7477 AG'，'作者'：['Doekele G Stavenga'，'，\ xa0Hein L Leertouwer'，'\ xa0＆\ xa0Bodo D Wilts']} ，{'地址'：'萨塞克斯大学生命科学学院，布莱顿，英国BN1 9QG'，'作者'：['丹尼尔·C·奥索里奥']} 
10.1038/lsa.2015.18,Ultrafast optical spectroscopy of surface-modified silicon quantum dots: unraveling the underlying mechanism of the ultrabright and color-tunable photoluminescence,表面修饰的硅量子点的超快光谱：揭示超亮和颜色可调光致发光的潜在机理 ,"<p>In this work, the fundamental mechanism of ultrabright fluorescence from surface-modified colloidal silicon quantum dots is investigated in depth using ultrafast spectroscopy. The underlying energy band structure corresponding to such highly efficient direct bandgap-like emissions in our surface-modified silicon quantum dots is unraveled by analyzing the transient optical spectrum, which demonstrates the significant effect of surface molecular engineering. It is observed that special surface modification, which creates novel surface states, is responsible for the different emission wavelengths and the significant improvement in the photoluminescence quantum yields. Following this essential understanding, surface-modified silicon quantum dots with deep blue to orange emission are successfully prepared without changing their sizes.</p>",<p>在这项工作中，使用超快光谱技术深入研究了来自表面改性的胶体硅量子点的超亮荧光的基本机理。 通过分析瞬态光谱，揭示了与我们表面改性的硅量子点中如此高效的直接带隙状发射相对应的潜在能带结构，这证明了表面分子工程学的显著作用。 可以观察到，特殊的表面改性会产生新的表面状态，这是导致不同发射波长以及光致发光量子产率显着提高的原因。 掌握了这一基本知识之后，就可以成功制备出具有深蓝色至橙色发射光的表面改性硅量子点，而无需改变其大小。 ,"[{'address': 'State Key Laboratory on Integrated Optoelectronics, College of Electronic Science and Engineering, Jilin University, Changchun 130012, China', 'authors': ['Lei Wang', ',\xa0Hai-Yu Wang', ',\xa0Ran Zhang', ',\xa0Qi-Dai Chen', ',\xa0Huai-Liang Xu', '\xa0&\xa0Hong-Bo Sun']}, {'address': 'College of Physics, Jilin University, Changchun 130012, China', 'authors': ['Wei Han', '\xa0&\xa0Hong-Bo Sun']}, {'address': 'Department of Macromolecular Science, State Key Laboratory of Molecular Engineering of Polymers, Advanced Material Laboratory, Fudan University, Shanghai 200433, China', 'authors': ['Qi Li', ',\xa0Jing-Chun Huang', '\xa0&\xa0Zheng-Zhong Shao']}]",[{'地址'：'吉林大学电子科学与工程学院集成光电国家重点实验室，吉林长春130012'，'作者'：['王雷'，'，\ xa0Hai-Yu Wang'，' ，\ xa0Ran Zhang'，'，\ xa0Qi-Dai Chen'，'，\ xa0Huai-Liang Xu'，'\ xa0＆\ xa0HongBo Sun']}，{'address'：'吉林大学物理学院，长春 130012，中国”，“作者”：['Wei Han'，'\ xa0＆\ xa0Hong-Bo Sun']}，{'address'：'高分子科学系，高分子分子工程国家重点实验室，先进材料实验室 ，复旦大学，上海200433”，“作者”：['Qi Li'，'，\ xa0Jing-Chun Huang'，'\ xa0＆\ xa0Zheng-Zhong Shao']}]] 
10.1038/lsa.2015.9,Embracing the International Year of Light (2015),拥抱国际光年（2015） ,,,"[{'address': 'Editor-in-Chief of Light: Science & Applications', 'authors': ['Jianlin Cao']}, {'address': 'Professor in Film Optics', 'authors': ['Jianlin Cao']}, {'address': 'Vice Minister of Science and Technology', 'authors': ['Jianlin Cao']}, {'address': 'State Key Laboratory of Applied Optics, CIOMP, No. 3888, Dongnanhu Road, Changchun, China', 'authors': ['Jianlin Cao']}]",[{'address'：'光之主编：科学与应用'，'authors'：['Jianlin Cao']}，{'address'：'Film Optical Optics'，'authors'：[' 曹建林']}，{'地址'：'科学技术部副部长'，'作者'：['曹建林']}，{'地址'：'应用光学国家重点实验室，CIOMP，第3888号 ，中国长春东南湖路”，“作者”：['曹建林']}] 
