doi,title,title_cn,abstract,abstract_cn
10.1038/lsa.2017.21,Few-mode fibre-optic microwave photonic links,少模光纤微波光子链路 ,"<p>The fibre-optic microwave photonic link has become one of the basic building blocks for microwave photonics. Increasing the optical power at the receiver is the best way to improve all link performance metrics including gain, noise figure and dynamic range. Even though lasers can produce and photodetectors can receive optical powers on the order of a Watt or more, the power-handling capability of optical fibres is orders-of-magnitude lower. In this paper, we propose and demonstrate the use of few-mode fibres to bridge this power-handling gap, exploiting their unique features of small acousto-optic effective area, large effective areas of optical modes, as well as orthogonality and walk-off among spatial modes. Using specially designed few-mode fibres, we demonstrate order-of-magnitude improvements in link performances for single-channel and multiplexed transmission. This work represents the first step in few-mode microwave photonics. The spatial degrees of freedom can also offer other functionalities such as large, tunable delays based on modal dispersion and wavelength-independent lossless signal combining, which are indispensable in microwave photonics.</p>",<p>光纤微波光子链路已成为微波光子学的基本组成部分之一。增加接收器的光功率是改善所有链路性能指标（包括增益，噪声系数和动态范围）的最佳方法。即使可以产生激光并且光检测器可以接收大约瓦特或更高的光功率，但光纤的功率处理能力却要低几个数量级。在本文中，我们提出并演示了使用少模光纤来弥合此功率处理差距，并充分利用了它们的独特特征，即声光有效面积小，光模有效面积大，正交性和离散度小。在空间模式之间。使用专门设计的少模光纤，我们证明了单通道和多路传输的链路性能在数量级上的提高。这项工作代表了少模微波光子学的第一步。空间自由度还可以提供其他功能，例如基于模态色散和与波长无关的无损信号组合的大可调延迟，这在微波光子学中是必不可少的。</ p> 
10.1038/lsa.2017.23,Ultrasensitive broadband phototransistors based on perovskite/organic-semiconductor vertical heterojunctions,基于钙钛矿/有机半导体垂直异质结的超灵敏宽带光电晶体管 ,"<p>Organolead halide perovskites have emerged as the most promising materials for various optoelectronic devices, especially solar cells, because of their excellent optoelectronic properties. Here, we present the first report of low-voltage high-gain phototransistors based on perovskite/organic-semiconductor vertical heterojunctions, which show ultrahigh responsivities of ~10<sup>9</sup>A&#160;W<sup>&#8211;1</sup> and specific detectivities of ~10<sup>14</sup> Jones in a broadband region from the ultraviolet to the near infrared. The high sensitivity of the devices is attributed to a pronounced photogating effect that is mainly due to the long carrier lifetimes and strong light absorption in the perovskite material. In addition, flexible perovskite photodetectors have been successfully prepared via a solution process and show high sensitivity as well as excellent flexibility and bending durability. The high performance and facile solution-based fabrication of the perovskite/organic-semiconductor phototransistors indicate their promise for potential application for ultrasensitive broadband photodetection.</p>",<p> Organolead卤化物钙钛矿因其优异的光电性能而成为各种光电设备（尤其是太阳能电池）中最有希望的材料。在这里，我们提出了第一个基于钙钛矿/有机半导体垂直异质结的低压高增益光电晶体管的报告，该晶体管显示出〜10 <sup> 9 </ sup> A＆＃160; W <sup>＆＃ 8211; 1 </ sup>和〜10 <sup> 14 </ sup> Jones在从紫外到近红外的宽带区域中的比探测率。器件的高灵敏度归因于显着的光选通效果，这主要归因于钙钛矿材料的长载流子寿命和强光吸收。另外，通过溶液法成功地制备了柔性钙钛矿光电探测器，并显示出高灵敏度以及出色的柔韧性和弯曲耐久性。钙钛矿/有机半导体光电晶体管的高性能，基于解决方案的便捷制造表明了它们在超灵敏宽带光电检测中的潜在应用前景。</ p> 
10.1038/lsa.2017.27,Multifunctional interleaved geometric-phase dielectric metasurfaces,多功能交错几何相介电超表面 ,"<p>Shared-aperture technology for multifunctional planar systems, performing several simultaneous tasks, was first introduced in the field of radar antennas. In photonics, effective control of the electromagnetic response can be achieved by a geometric-phase mechanism implemented within a metasurface, enabling spin-controlled phase modulation. The synthesis of the shared-aperture and geometric-phase concepts facilitates the generation of multifunctional metasurfaces. Here shared-aperture geometric-phase metasurfaces were realized via the interleaving of sparse antenna sub-arrays, forming Si-based devices consisting of multiplexed geometric-phase profiles. We study the performance limitations of interleaved nanoantenna arrays by means of a Wigner phase-space distribution to establish the ultimate information capacity of a metasurface-based photonic system. Within these limitations, we present multifunctional spin-dependent dielectric metasurfaces, and demonstrate multiple-beam technology for optical rotation sensing. We also demonstrate the possibility of achieving complete real-time control and measurement of the fundamental, intrinsic properties of light, including frequency, polarization and orbital angular momentum.</p>",<p>用于多功能平面系统的共享孔径技术可同时执行多项任务，最早是在雷达天线领域引入的。在光子学中，电磁响应的有效控制可以通过超表面内实现的几何相位机制来实现，从而实现自旋控制的相位调制。共享孔径和几何相位概念的综合有助于生成多功能超颖表面。在这里，共享孔径几何相位超表面是通过稀疏天线子阵列的交织实现的，形成了由Si组成的，由多重几何相位分布组成的器件。我们通过Wigner相空间分布研究交错的纳米天线阵列的性能局限性，以建立基于超表面的光子系统的最终信息容量。在这些限制内，我们介绍了多功能自旋相关的介电超表面，并演示了用于光学旋转传感的多光束技术。我们还演示了实现对光的基本，固有属性（包括频率，偏振和轨道角动量）进行完全实时控制和测量的可能性。</ p> 
10.1038/lsa.2017.29,Nanoplasmonic mid-infrared biosensor for in vitro protein secondary structure detection,用于体外蛋白质二级结构检测的纳米等离子体中红外生物传感器 ,"<p>Plasmonic nanoantennas offer new applications in mid-infrared (mid-IR) absorption spectroscopy with ultrasensitive detection of structural signatures of biomolecules, such as proteins, due to their strong resonant near-fields. The amide I fingerprint of a protein contains conformational information that is greatly important for understanding its function in health and disease. Here, we introduce a non-invasive, label-free mid-IR nanoantenna-array sensor for secondary structure identification of nanometer-thin protein layers in aqueous solution by resolving the content of plasmonically enhanced amide I signatures. We successfully detect random coil to cross &#946;-sheet conformational changes associated with &#945;-synuclein protein aggregation, a detrimental process in many neurodegenerative disorders. Notably, our experimental results demonstrate high conformational sensitivity by differentiating subtle secondary-structural variations in a native &#946;-sheet protein monolayer from those of cross &#946;-sheets, which are characteristic of pathological aggregates. Our nanoplasmonic biosensor is a highly promising and versatile tool for in vitro structural analysis of thin protein layers.</p>",<p>等离子体纳米天线由于具有强的共振近场特性，在生物分子（例如蛋白质）的结构特征的超灵敏检测中，在中红外（mid-IR）吸收光谱中提供了新的应用。蛋白质的酰胺I指纹包含构象信息，这对于理解其在健康和疾病中的功能非常重要。在这里，我们介绍了一种无创，无标签的中红外纳米天线阵列传感器，用于通过解析等离子体增强的酰胺I签名的含量来识别水溶液中纳米薄蛋白层的二级结构。我们成功地检测到与＆＃945;-突触核蛋白蛋白聚集相关的随机线圈穿过＆＃946; -sheet构象变化，这是许多神经退行性疾病的有害过程。值得注意的是，我们的实验结果通过区分自然的单层蛋白单层与交叉的单层蛋白（其是病理性聚集体的特征）中的细微二级结构变化，证明了高构象敏感性。我们的纳米等离子体生物传感器是用于薄蛋白层体外结构分析的极有前途且用途广泛的工具。</ p> 
10.1038/lsa.2017.30,Emission from quantum-dot high-β microcavities: transition from spontaneous emission to lasing and the effects of superradiant emitter coupling,量子点高β微腔的发射：从自发发射到激光发射以及超辐射发射器耦合的影响 ,"<p>Measured and calculated results are presented for the emission properties of a new class of emitters operating in the cavity quantum electrodynamics regime. The structures are based on high-finesse GaAs/AlAs micropillar cavities, each with an active medium consisting of a layer of InGaAs quantum dots (QDs) and the distinguishing feature of having a substantial fraction of spontaneous emission channeled into one cavity mode (high &#946;-factor). This paper demonstrates that the usual criterion for lasing with a conventional (low &#946;-factor) cavity, that is, a sharp non-linearity in the input&#8211;output curve accompanied by noticeable linewidth narrowing, has to be reinforced by the equal-time second-order photon autocorrelation function to confirm lasing. The paper also shows that the equal-time second-order photon autocorrelation function is useful for recognizing superradiance, a manifestation of the correlations possible in high-&#946; microcavities operating with QDs. In terms of consolidating the collected data and identifying the physics underlying laser action, both theory and experiment suggest a sole dependence on intracavity photon number. Evidence for this assertion comes from all our measured and calculated data on emission coherence and fluctuation, for devices ranging from light-emitting diodes (LEDs) and cavity-enhanced LEDs to lasers, lying on the same two curves: one for linewidth narrowing versus intracavity photon number and the other for g<sup>(2)</sup>(0) versus intracavity photon number.</p>",给出了在腔量子电动力学范围内运行的新型发射器的发射特性的测量和计算结果。该结构基于高精细的GaAs / AlAs微柱腔，每个腔均包含一层InGaAs量子点（QD）组成的活性介质，其显着特征是大部分自发发射被引导到一个腔模式（高＃946; -factor）。本文证明了使用常规（低因数）腔进行激光照射的通常标准，即输入与输出曲线中的尖锐非线性以及明显的线宽变窄，必须通过以下方法加强：等时二阶光子自相关函数以确认激光发射。该论文还表明，等时二阶光子自相关函数对于识别超辐射非常有用，超高辐射是超高光可能的相关性的体现。带有QD的微腔。在巩固所收集的数据并确定激光作用的物理基础方面，理论和实验都表明仅依赖腔内光子数。这一论断的证据来自我们对发光相干性和波动性的所有测量和计算数据，涉及从发光二极管（LED）和腔增强型LED到激光器的各种器件，它们位于相同的两条曲线上：一条线宽变窄与腔内光子数和g <sup>（2）</ sup>（0）的另一个光子数与腔内光子数的关系。</ p> 
10.1038/lsa.2017.32,Three-dimensional super-resolution longitudinal magnetization spot arrays,三维超分辨率纵向磁化点阵列 ,"<p>We demonstrate an all-optical strategy for realizing spherical three-dimensional (3D) super-resolution (&#8764;&#955;<sup>3</sup>/22) spot arrays of pure longitudinal magnetization by exploiting a 4&#960; optical microscopic setup with two high numerical aperture (NA) objective lenses, which focus and interfere two modulated vectorial beams. Multiple phase filters (MPFs) are designed via an analytical approach derived from the vectorial Debye diffraction theory to modulate the two circularly polarized beams. The system is tailored to constructively interfere the longitudinal magnetization components, while simultaneously destructively interfering the azimuthal ones. As a result, the magnetization field is not only purely longitudinal but also super-resolved in all three dimensions. Furthermore, the MPFs can be designed analytically to control the number and locations of the super-resolved magnetization spots to produce both uniform and nonuniform arrays in a 3D volume. Thus, an all-optical control of all the properties of light-induced magnetization spot arrays has been demonstrated for the first time. These results open up broad applications in magnetic-optical devices such as confocal and multifocal magnetic resonance microscopy, 3D ultrahigh-density magneto-optic memory, and light-induced magneto-lithography.</p>",<p>我们演示了一种通过利用纯磁化来实现球形三维（3D）超分辨率（＆＃8764;＆＃955; <sup> 3 </ sup> / 22）点阵列的全光学策略4＆＃960;光学显微镜设置，带有两个高数值孔径（NA）物镜，可聚焦和干涉两个调制矢量光束。通过从矢量德拜衍射理论推导的分析方法来设计多相滤波器（MPF），以调制两个圆偏振光束。该系统经过专门设计，可构造性地干扰纵向磁化分量，同时破坏性地干扰方位分量。结果，磁化场不仅是纵向的，而且在所有三个维度上都是超分辨的。此外，MPF可以进行分析设计，以控制超分辨磁化点的数量和位置，从而在3D体积中生成均匀和不均匀的阵列。因此，首次证明了对光感应磁化点阵列的所有特性的全光学控制。这些结果为共聚焦和多焦点磁共振显微镜，3D超高密度磁光存储器以及光感应磁平版印刷等磁光设备提供了广泛的应用。</ p> 
10.1038/lsa.2017.38,Direct observation of localized surface plasmon field enhancement by Kelvin probe force microscopy,用开尔文探针力显微镜直接观察局部表面等离激元场增强 ,"<p>A surface plasmon (SP) is a fundamental excitation state that exists in metal nanostructures. Over the past several years, the performance of optoelectronic devices has been improved greatly via the SP enhancement effect. In our previous work, the responsivity of GaN ultraviolet detectors was increased by over 30 times when using Ag nanoparticles. However, the physics of the SP enhancement effect has not been established definitely because of the lack of experimental evidence. To reveal the physical origin of this enhancement, Kelvin probe force microscopy (KPFM) was used to observe the SP-induced surface potential reduction in the vicinity of Ag nanoparticles on a GaN epilayer. Under ultraviolet illumination, the localized field enhancement induced by the SP forces the photogenerated electrons to drift close to the Ag nanoparticles, leading to a reduction of the surface potential around the Ag nanoparticles on the GaN epilayer. For an isolated Ag nanoparticle with a diameter of ~200&#8201;nm, the distribution of the SP localized field is located within 60&#8201;nm of the boundary of the Ag nanoparticle. For a dimer of Ag nanoparticles, the localized field enhancement between the nanoparticles was the strongest. The results presented here provide direct experimental proof of the localized field enhancement. These results not only explain the high performance of GaN detectors observed with the use of Ag nanoparticles but also reveal the physical mechanism of SP enhancement in optoelectronic devices, which will help us further understand and improve the performance of SP-based optoelectronic devices in the future.</p>",表面等离子体激元（SP）是存在于金属纳米结构中的基本激发态。在过去的几年中，通过SP增强效果，光电子器件的性能有了很大的提高。在我们以前的工作中，使用银纳米颗粒时，GaN紫外线探测器的响应度提高了30倍以上。然而，由于缺乏实验证据，尚不能确定SP增强作用的物理性质。为了揭示这种增强作用的物理原因，使用开尔文探针力显微镜（KPFM）观察了GaN外延层上SP诱导的Ag纳米颗粒附近表面电位的降低。在紫外线照射下，由SP引起的局部场增强迫使光生电子向接近Ag纳米颗粒的方向漂移，从而导致GaN外延层上Ag纳米颗粒周围的表面电势降低。对于直径约为200纳米的分离出的银纳米粒子，SP局部场的分布位于银纳米粒子边界的60纳米内。对于Ag纳米颗粒的二聚体，纳米颗粒之间的局部电场增强最强。这里介绍的结果提供了局部场增强的直接实验证明。这些结果不仅解释了使用银纳米颗粒观察到的GaN检测器的高性能，而且揭示了光电器件中SP增强的物理机制，这将有助于我们进一步了解和改进基于SP的光电器件的性能。 </ p> 
10.1038/lsa.2017.41,Random lasing in an Anderson localizing optical fiber,安德森定位光纤中的随机激射 ,"<p>A directional random laser mediated by transverse Anderson localization in a disordered glass optical fiber is reported. Previous demonstrations of random lasers have found limited applications because of their multi-directionality and chaotic fluctuations in the laser emission. The random laser presented in this paper operates in the Anderson localization regime. The disorder induced localized states form isolated local channels that make the output laser beam highly directional and stabilize its spectrum. The strong transverse disorder and longitudinal invariance result in isolated lasing modes with negligible interaction with their surroundings, traveling back and forth in a Fabry&#8211;Perot cavity formed by the air&#8211;fiber interfaces. It is shown that if a localized input pump is scanned across the disordered fiber input facet, the output laser signal follows the transverse position of the pump. Moreover, a uniformly distributed pump across the input facet of the disordered fiber generates a laser signal with very low spatial coherence that can be of practical importance in many optical platforms including image transport with fiber bundles.</p>",据报道，由无序玻璃光纤中的横向安德森定位介导的定向随机激光。由于随机激光的多方向性和激光发射中的混沌波动，因此之前的演示已经发现了有限的应用。本文介绍的随机激光器在安德森定位系统中运行。无序诱导的局部状态形成隔离的局部通道，这些局部通道使输出激光束具有高度的方向性并稳定其光谱。强烈的横向紊乱和纵向不变性导致了孤立的激光模式，与周围环境的相互作用可忽略不计，在由空气纤维界面形成的Fabry Perot腔中来回运动。如图所示，如果在无序的光纤输入面上扫描局部输入泵，则输出激光信号将遵循泵的横向位置。此外，在无序光纤的输入面上分布均匀的泵浦产生的激光信号具有非常低的空间相干性，这在许多光学平台中，包括光纤束的图像传输，都具有实际意义。</ p> 
10.1038/lsa.2017.42,Superior LSPR substrates based on electromagnetic decoupling for on-a-chip high-throughput label-free biosensing,基于电磁去耦的高级LSPR基板，用于单芯片高通量无标签生物传感 ,"<p>Localized surface plasmon resonance (LSPR) biosensing based on supported metal nanoparticles offers unparalleled possibilities for high-end miniaturization, multiplexing and high-throughput label-free molecular interaction analysis in real time when integrated within an opto-fluidic environment. However, such LSPR-sensing devices typically contain extremely large regions of dielectric materials that are open to molecular adsorption, which must be carefully blocked to avoid compromising the device readings. To address this issue, we made the support essentially invisible to the LSPR by carefully removing the dielectric material overlapping with the localized plasmonic fields through optimized wet-etching. The resulting LSPR substrate, which consists of gold nanodisks centered on narrow SiO<sub>2</sub> pillars, exhibits markedly reduced vulnerability to nonspecific substrate adsorption, thus allowing, in an ideal case, the implementation of thicker and more efficient passivation layers. We demonstrate that this approach is effective and fully compatible with state-of-the-art multiplexed real-time biosensing technology and thus represents the ideal substrate design for high-throughput label-free biosensing systems with minimal sample consumption.</p>",<p>基于受支持的金属纳米粒子的局部表面等离子体共振（LSPR）生物传感提供了无与伦比的可能性，可将其集成到光流体环境中进行实时的高端微型化，多路复用和高通量无标记分子相互作用分析。但是，此类LSPR传感设备通常包含非常大的介电材料区域，该区域可进行分子吸附，因此必须小心地将其封闭，以免损害设备读数。为了解决这个问题，我们通过优化的湿法刻蚀小心地去除了与局部等离激元场重叠的介电材料，从而使LSPR基本上不可见支撑。所得的LSPR基底由以窄SiO <sub> 2 </ sub>柱为中心的金纳米盘组成，对非特异性基底吸附的抵抗力显着降低，因此在理想情况下，可以实现更厚且更有效的钝化层。我们证明了这种方法是有效的，并且与最新的多路实时生物传感技术完全兼容，从而代表了高通量，无标签生物传感系统的理想底物设计，并且样品消耗最少。</ p> 
10.1038/lsa.2017.90,Perovskite/organic-semiconductor heterojunctions for ultrasensitive photodetection,钙钛矿/有机半导体异质结，用于超灵敏光电检测 ,,
