doi,title,title_cn,abstract,abstract_cn
10.1038/nnano.2013.229,Engineering myosins for long-range transport on actin filaments,工程肌球蛋白可在肌动蛋白丝上进行远距离运输 ,"<p>Cytoskeletal motors act as cargo transporters in cells and may be harnessed for directed transport applications in molecular detection and diagnostic devices. High processivity, the ability to take many steps along a track before dissociating, is often a desirable characteristic because it allows nanoscale motors to transport cargoes over distances on the scale of micrometres, in vivo and in vitro. Natural processive myosins are dimeric and use internal tension to coordinate the detachment cycles of the two heads. Here, we show that processivity can be enhanced in engineered myosins using two non-natural strategies designed to optimize the effectiveness of random, uncoordinated stepping: (1) the formation of three-headed and four-headed myosins and (2) the introduction of flexible elements between heads. We quantify improvements using systematic single-molecule characterization of a panel of engineered motors. To test the modularity of our approach, we design a controllably bidirectional myosin that is robustly processive in both forward and backward directions, and also produce the fastest processive cytoskeletal motor measured so far, reaching a speed of 10&#160;&#181;m&#160;s<sup>&#8722;1</sup>.</p>",<p>细胞骨架马达在细胞中起着货物转运的作用，可用于分子检测和诊断设备中的定向转运应用。高的可加工性，即在解离之前沿着轨道走许多步的能力，通常是理想的特性，因为它允许纳米级电动机在体内和体外以微米级的距离远距离运输货物。天然进行性肌球蛋白是二聚体，并利用内部张力来协调两个头的分离周期。在这里，我们表明，可以使用两种非天然策略来增强工程肌球蛋白的持续合成能力，这两种策略旨在优化随机，不协调步进的有效性：（1）三头和四头肌球蛋白的形成，以及（2）引入三头肌和四头肌球蛋白。头部之间的柔性元件。我们使用一组工程电机的系统单分子表征来量化改进。为了测试我们方法的模块性，我们设计了一种可双向控制的肌球蛋白，它在向前和向后方向都具有强大的进行性，并且还可以产生迄今测得的最快的进行性细胞骨架运动，速度达到10＆＃181;＆＃181; ＃160; s <sup>＆＃8722; 1 </ sup>。</ p> 
10.1038/nnano.2013.257,A synthetic DNA motor that transports nanoparticles along carbon nanotubes,沿着DNA纳米管运输纳米颗粒的合成DNA马达 ,"<p>Intracellular protein motors have evolved to perform specific tasks critical to the function of cells such as intracellular trafficking and cell division. Kinesin and dynein motors, for example, transport cargoes in living cells by walking along microtubules powered by adenosine triphosphate hydrolysis. These motors can make discrete 8&#160;nm centre-of-mass steps and can travel over 1&#160;&#181;m by changing their conformations during the course of adenosine triphosphate binding, hydrolysis and product release. Inspired by such biological machines, synthetic analogues have been developed including self-assembled DNA walkers that can make stepwise movements on RNA/DNA substrates or can function as programmable assembly lines. Here, we show that motors based on RNA-cleaving DNA enzymes can transport nanoparticle cargoes&#8212;CdS nanocrystals in this case&#8212;along single-walled carbon nanotubes. Our motors extract chemical energy from RNA molecules decorated on the nanotubes and use that energy to fuel autonomous, processive walking through a series of conformational changes along the one-dimensional track. The walking is controllable and adapts to changes in the local environment, which allows us to remotely direct &#8216;go&#8217; and &#8216;stop&#8217; actions. The translocation of individual motors can be visualized in real time using the visible fluorescence of the cargo nanoparticle and the near-infared emission of the carbon-nanotube track. We observed unidirectional movements of the molecular motors over 3&#160;&#181;m with a translocation velocity on the order of 1&#160;nm&#160;min<sup>&#8722;1</sup> under our experimental conditions.</p>",细胞内蛋白马达已经进化为执行对细胞功能至关重要的特定任务，例如细胞内运输和细胞分裂。例如，驱动蛋白和动力蛋白通过沿着由三磷酸腺苷水解作用驱动的微管行走，从而在活细胞中运输货物。这些电机可以进行离散的8纳米质心步长，并且在三磷酸腺苷结合，水解和产物释放过程中通过改变其构型，可以运行1微米以上。受此类生物机器的启发，已开发出包括自组装DNA Walker在内的合成类似物，该Walker可以在RNA / DNA底物上逐步移动或充当可编程组装线。在这里，我们显示了基于RNA切割DNA酶的电机可以在这种情况下沿单壁碳纳米管运输纳米颗粒货物CdS纳米晶体。我们的电机从装饰在纳米管上的RNA分子中提取化学能，并利用该能为沿着一维轨道的一系列构象变化的自主性，过程性行走提供动力。步行是可控制的，并适应本地环境的变化，这使我们可以远程定向“去”。和＆＃8216; stop＆＃8217;动作。使用货物纳米粒子的可见荧光和碳纳米管轨道的近红外发射，可以实时可视化单个马达的移位。在我们的实验中，我们观察到分子电动机在3＆＃160;＆＃181; m上的单向运动，其移位速度为1＆＃160; min＆＃160; min <sup>＆＃8722; 1 </ sup>条件。</ p> 
10.1038/nnano.2013.230,Transport and self-organization across different length scales powered by motor proteins and programmed by DNA,由运动蛋白驱动并由DNA编程的不同长度尺度的运输和自组织 ,"<p>In eukaryotic cells, cargo is transported on self-organized networks of microtubule trackways by kinesin and dynein motor proteins. Synthetic microtubule networks have previously been assembled in vitro, and microtubules have been used as shuttles to carry cargoes on lithographically defined tracks consisting of surface-bound kinesin motors. Here, we show that molecular signals can be used to program both the architecture and the operation of a self-organized transport system that is based on kinesin and microtubules and spans three orders of magnitude in length scale. A single motor protein, dimeric kinesin-1, is conjugated to various DNA nanostructures to accomplish different tasks. Instructions encoded into the DNA sequences are used to direct the assembly of a polar array of microtubules and can be used to control the loading, active concentration and unloading of cargo on this track network, or to trigger the disassembly of the network.</p>",<p>在真核细胞中，货物通过驱动蛋白和动力蛋白运动蛋白在自组织的微管通道网络上运输。 合成的微管网络先前已在体外组装，并且微管已用作穿梭车，以在由表面结合的驱动蛋白马达组成的光刻定义的轨道上运送货物。 在这里，我们表明分子信号可用于对基于驱动蛋白和微管的自组织运输系统的体系结构和操作进行编程，其长度范围跨越三个数量级。 单一的运动蛋白，二聚体驱动蛋白1，被缀合到各种DNA纳米结构以完成不同的任务。 编码到DNA序列中的指令用于指导微管极性阵列的组装，并可用于控制该轨道网络上货物的装载，有效浓度和卸载，或触发网络的拆卸。</ p > 
10.1038/nnano.2013.276,Enhancing spontaneous emission rates of molecules using nanopatterned multilayer hyperbolic metamaterials,使用纳米图案多层双曲线超材料提高分子的自发发射速率 ,"<p>Plasmonic nanostructures have been extensively used to manipulate the spontaneous light emission rate of molecules and their radiative efficiency. Because molecules near a metallic surface experience a different environment than in free space, their spontaneous radiative emission rate is generally enhanced. Such enhancement, measured by means of the Purcell factor, arises as a consequence of the overlap between the surface plasmon mode frequency and the emission spectrum of the molecule. However, such overlap is available only for a few narrow bands of frequency due to the limited plasmonic materials existing in nature. Although this limitation can be overcome by using hyperbolic metamaterials (HMMs)&#8212;a type of nanoscale artificial material with hyperbolic dispersion relations&#8212;the Purcell factor and the radiative power have remained relatively low. Here, we show that by nanopatterning a hyperbolic metamaterial made of Ag and Si multilayers, the spontaneous emission rate of rhodamine dye molecules is enhanced 76-fold at tunable frequencies and the emission intensity of the dye increases by &#8764;80-fold compared with the same hyperbolic metamaterial without nanostructuring. We explain these results using a dynamic Lorentzian model in the time domain.</p>",等离子体纳米结构已被广泛用于控制分子的自发发光速率及其辐射效率。由于金属表面附近的分子所经历的环境不同于自由空间中的分子，因此它们的自发辐射发射率通常会提高。借助于Purcell因子测量的这种增强是表面等离激元模频率和分子的发射光谱之间重叠的结果。然而，由于自然界中存在的有限的等离子体材料，这种重叠仅在少数几个窄频带上可用。尽管可以通过使用双曲线超材料（HMM）克服这种限制，但一种具有双曲线色散关系的纳米级人造材料的Purcell因子和辐射功率仍然相对较低。在这里，我们显示出通过纳米图案化由Ag和Si多层组成的双曲线超材料，若丹明染料分子的自发发射速率在可调频率下提高了76倍，并且染料的发射强度与80倍相比增加了具有相同的双曲线超材料而没有纳米结构。我们在时域中使用动态Lorentzian模型解释这些结果。</ p> 
10.1038/nnano.2013.255,Molecular-sized fluorescent nanodiamonds,分子大小的荧光纳米金刚石 ,"<p>Doping of carbon nanoparticles with impurity atoms is central to their application. However, doping has proven elusive for very small carbon nanoparticles because of their limited availability and a lack of fundamental understanding of impurity stability in such nanostructures. Here, we show that isolated diamond nanoparticles as small as 1.6 nm, comprising only &#8764;400 carbon atoms, are capable of housing stable photoluminescent colour centres, namely the silicon vacancy (SiV). Surprisingly, fluorescence from SiVs is stable over time, and few or only single colour centres are found per nanocrystal. We also observe size-dependent SiV emission supported by quantum-chemical simulation of SiV energy levels in small nanodiamonds. Our work opens the way to investigating the physics and chemistry of molecular-sized cubic carbon clusters and promises the application of ultrasmall non-perturbative fluorescent nanoparticles as markers in microscopy and sensing.</p>",<p>用杂质原子掺杂碳纳米颗粒是其应用的核心。 然而，由于非常有限的可用性以及对此类纳米结构中杂质稳定性的基本认识不足，掺杂已被证明对非常小的碳纳米颗粒难以捉摸。 在这里，我们显示了仅包含＆＃8764; 400个碳原子的小至1.6 nm的分离出的金刚石纳米颗粒，能够容纳稳定的光致发光色心，即硅空位（SiV）。 出人意料的是，随着时间的推移，来自SiV的荧光是稳定的，每个纳米晶体很少或只有单一色中心。 我们还观察到小纳米金刚石中SiV能级的量子化学模拟支持的尺寸依赖性SiV发射。 我们的工作为研究分子大小的立方碳簇的物理和化学方法开辟了道路，并有望将超小型无扰动荧光纳米粒子用作显微镜和传感中的标记。</ p> 
10.1038/nnano.2013.241,Spin Hall effect clocking of nanomagnetic logic without a magnetic field,无磁场的纳米磁性逻辑的自旋霍尔效应计时 ,"<p>Spin-based computing schemes could enable new functionalities beyond those of charge-based approaches. Examples include nanomagnetic logic, where information can be processed using dipole coupled nanomagnets, as demonstrated by multi-bit computing gates. One fundamental benefit of using magnets is the possibility of a significant reduction in the energy per bit compared with conventional transistors. However, so far, practical implementations of nanomagnetic logic have been limited by the necessity to apply a magnetic field for clocking. Although the energy associated with magnetic switching itself could be very small, the energy necessary to generate the magnetic field renders the overall logic scheme uncompetitive when compared with complementary metal&#8211;oxide&#8211;semiconductor (CMOS) counterparts. Here, we demonstrate a nanomagnetic logic scheme at room temperature where the necessity for using a magnetic field clock can be completely removed by using spin&#8211;orbit torques. We construct a chain of three perpendicularly polarized CoFeB nanomagnets on top of a tantalum wire and show that an unpolarized current flowing through the wire can &#8216;clock&#8217; the perpendicular magnetization to a metastable state. An input magnet can then drive the nanomagnetic chain deterministically to one of two dipole-coupled states, &#8216;2 up 1 down&#8217; or &#8216;2 down 1 up&#8217;, depending on its own polarization. Thus, information can flow along the chain, dictated by the input magnet and clocked solely by a charge current in tantalum, without any magnetic field. A three to four order of magnitude reduction in energy dissipation is expected for our scheme when compared with state-of-the-art nanomagnetic logic.</p>",基于旋转的计算方案可以实现超越基于电荷的方法的新功能。例子包括纳米磁逻辑，其中信息可以使用偶极耦合纳米磁铁进行处理，如多位计算门所证明的。与常规晶体管相比，使用磁体的一个基本好处是可以显着降低每位能量。然而，到目前为止，由于需要施加磁场以进行计时，纳米磁逻辑的实际实现受到了限制。尽管与磁性开关本身相关的能量可能很小，但与互补金属氧化物半导体（CMOS）相比，产生磁场所需的能量使整个逻辑方案不具有竞争力。在这里，我们演示了一种在室温下的纳米磁逻辑方案，其中通过使用自旋轨道扭矩可以完全消除使用磁场时钟的必要性。我们在钽丝的顶部构造了三个垂直极化的CoFeB纳米磁铁链，并显示了流过该导线的非极化电流可以“时钟”。垂直磁化为亚稳态。输入磁体然后可以确定地将纳米磁链驱动到两个偶极耦合状态之一，即“ 2向上1向下”。或“ 2向下1向上”，具体取决于其自身的极化程度。因此，信息可以沿着链条流动，由输入磁体决定，并且仅由钽中的充电电流提供时钟，而没有任何磁场。与最先进的纳米磁性逻辑相比，我们的方案预期能将能耗降低三到四个数量级。</ p> 
10.1038/nnano.2013.264,Control of single-spin magnetic anisotropy by exchange coupling,交流耦合控制单轴磁各向异性 ,"<p>The properties of quantum systems interacting with their environment, commonly called open quantum systems, can be affected strongly by this interaction. Although this can lead to unwanted consequences, such as causing decoherence in qubits used for quantum computation, it can also be exploited as a probe of the environment. For example, magnetic resonance imaging is based on the dependence of the spin relaxation times of protons in water molecules in a host's tissue. Here we show that the excitation energy of a single spin, which is determined by magnetocrystalline anisotropy and controls its stability and suitability for use in magnetic data-storage devices, can be modified by varying the exchange coupling of the spin to a nearby conductive electrode. Using scanning tunnelling microscopy and spectroscopy, we observe variations up to a factor of two of the spin excitation energies of individual atoms as the strength of the spin's coupling to the surrounding electronic bath changes. These observations, combined with calculations, show that exchange coupling can strongly modify the magnetic anisotropy. This system is thus one of the few open quantum systems in which the energy levels, and not just the excited-state lifetimes, can be renormalized controllably. Furthermore, we demonstrate that the magnetocrystalline anisotropy, a property normally determined by the local structure around a spin, can be tuned electronically. These effects may play a significant role in the development of spintronic devices in which an individual magnetic atom or molecule is coupled to conducting leads.</p>",<p>与环境相互作用的量子系统的特性（通常称为开放量子系统）会受到这种相互作用的强烈影响。尽管这可能导致不想要的结果，例如导致用于量子计算的量子位退相干，但也可以将其用作环境探针。例如，磁共振成像是基于宿主组织中水分子中质子的自旋弛豫时间的依赖性。在这里，我们表明，可以通过改变自旋与附近导电电极的交换耦合来修改由磁晶各向异性确定并控制其稳定性和适用于磁性数据存储设备的单自旋的激发能。使用扫描隧道显微镜和光谱法，我们观察到随着自旋与周围电子熔池的耦合强度的变化，变化高达单个原子自旋激发能的两倍。这些观察结果以及计算结果表明，交换耦合可以极大地改变磁各向异性。因此，该系统是少数开放量子系统之一，在该系统中，能级（而不仅仅是激发态寿命）可以可控地重新归一化。此外，我们证明了磁晶各向异性（一种通常由自旋周围的局部结构决定的性质）可以通过电子方式进行调整。这些效应可能在自旋电子器件的发展中起着重要作用，在自旋电子器件中，单个磁性原子或分子被耦合到导电引线。 
10.1038/nnano.2013.272,Efficient solar water-splitting using a nanocrystalline CoO photocatalyst,使用纳米晶体CoO光催化剂进行高效的太阳能水分解 ,"<p>The generation of hydrogen from water using sunlight could potentially form the basis of a clean and renewable source of energy. Various water-splitting methods have been investigated previously, but the use of photocatalysts to split water into stoichiometric amounts of H<sub>2</sub> and O<sub>2</sub> (overall water splitting) without the use of external bias or sacrificial reagents is of particular interest because of its simplicity and potential low cost of operation. However, despite progress in the past decade, semiconductor water-splitting photocatalysts (such as (Ga<sub>1&#8722;x</sub>Zn<sub>x</sub>)(N<sub>1&#8722;x</sub>O<sub>x</sub>)) do not exhibit good activity beyond 440&#160;nm (refs) and water-splitting devices that can harvest visible light typically have a low solar-to-hydrogen efficiency of around 0.1%. Here we show that cobalt(II) oxide (CoO) nanoparticles can carry out overall water splitting with a solar-to-hydrogen efficiency of around 5%. The photocatalysts were synthesized from non-active CoO micropowders using two distinct methods (femtosecond laser ablation and mechanical ball milling), and the CoO nanoparticles that result can decompose pure water under visible-light irradiation without any co-catalysts or sacrificial reagents. Using electrochemical impedance spectroscopy, we show that the high photocatalytic activity of the nanoparticles arises from a significant shift in the position of the band edge of the material.</p>",<p>利用阳光从水中产生氢有可能构成清洁和可再生能源的基础。先前已经研究了各种水分解方法，但是使用光催化剂将水分解为化学计量的H <sub> 2 </ sub>和O <sub> 2 </ sub>（总水分解），而无需使用外部偏压或牺牲性试剂由于其简单性和潜在的低成本而特别受关注。然而，尽管在过去十年中取得了进步，但半导体水分解光催化剂（例如（Ga <sub> 1＆＃8722; x </ sub> Zn <sub> x </ sub>）（N <sub> 1＆＃8722; x </ sub> O <sub> x </ sub>））在440到＃160; nm（refs）以上的范围内没有表现出良好的活性，并且能够收集可见光的水分解装置通常具有较低的太阳能转化效率约为0.1％。在这里，我们表明，氧化钴（II）纳米颗粒可以进行总的水分解，太阳能到氢的效率约为5％。使用两种不同的方法（飞秒激光烧蚀和机械球磨）由非活性CoO微粉合成光催化剂，所产生的CoO纳米颗粒可以在可见光照射下分解纯水，而无需任何助催化剂或牺牲试剂。使用电化学阻抗谱，我们发现纳米粒子的高光催化活性是由于材料的能带边缘的位置发生了明显的位移。</ p> 
10.1038/nnano.2013.253,"Hierarchical assembly of metal nanoparticles, quantum dots and organic dyes using DNA origami scaffolds",使用DNA折纸支架对金属纳米颗粒，量子点和有机染料进行分层组装 ,"<p>The self-assembly of nanoscale elements into three-dimensional structures with precise shapes and sizes is important in fields such as nanophotonics, metamaterials and biotechnology. Short molecular linkers have previously been used to create assemblies of nanoparticles, but the approach is limited to small interparticle distances, typically less than 10&#160;nm. Alternatively, DNA origami can precisely organize nanoscale objects over much larger length scales. Here we show that rigid DNA origami scaffolds can be used to assemble metal nanoparticles, quantum dots and organic dyes into hierarchical nanoclusters that have a planet&#8211;satellite-type structure. The nanoclusters have a tunable stoichiometry, defined distances of 5&#8211;200&#160;nm between components, and controllable overall sizes of up to 500&#160;nm. We also show that the nanoscale components can be positioned along the radial DNA spacers of the nanostructures, which allows short- and long-range interactions between nanoparticles and dyes to be studied in solution. The approach could, in the future, be used to construct efficient energy funnels, complex plasmonic architectures, and porous, nanoengineered scaffolds for catalysis.</p>",<p>在纳米光子学，超材料和生物技术等领域，将纳米级元素自组装成具有精确形状和尺寸的三维结构非常重要。短分子接头先前已用于创建纳米颗粒的组装体，但是该方法仅限于较小的颗粒间距离，通常小于10纳米。或者，DNA折纸可以在更大的长度尺度上精确地组织纳米级物体。在这里，我们显示了刚性的DNA折纸支架可用于将金属纳米颗粒，量子点和有机染料组装成具有卫星型结构的分层纳米簇。纳米团簇具有可调的化学计量，定义的组件之间的距离为5到200纳米，可控制的总体尺寸最大为500纳米。我们还表明，纳米级组件可以沿着纳米结构的径向DNA间隔子定位，这允许在溶液中研究纳米粒子和染料之间的短程和长程相互作用。将来，该方法可用于构建有效的能量漏斗，复杂的等离子体结构以及用于催化的多孔纳米工程支架。</ p> 
10.1038/nnano.2013.267,Spin-resolved Andreev levels and parity crossings in hybrid superconductor–semiconductor nanostructures,超导体-半导体混合纳米结构中自旋分辨的安德列夫能级和奇偶穿越 ,"<p>The physics and operating principles of hybrid superconductor&#8211;semiconductor devices rest ultimately on the magnetic properties of their elementary subgap excitations, usually called Andreev levels. Here we report a direct measurement of the Zeeman effect on the Andreev levels of a semiconductor quantum dot with large electron g-factor, strongly coupled to a conventional superconductor with a large critical magnetic field. This material combination allows spin degeneracy to be lifted without destroying superconductivity. We show that a spin-split Andreev level crossing the Fermi energy results in a quantum phase transition to a spin-polarized state, which implies a change in the fermionic parity of the system. This crossing manifests itself as a zero-bias conductance anomaly at finite magnetic field with properties that resemble those expected for Majorana modes in a topological superconductor. Although this resemblance is understood without evoking topological superconductivity, the observed parity transitions could be regarded as precursors of Majorana modes in the long-wire limit.</p>",<p>混合型超导体半导体器件的物理和工作原理最终取决于其基本亚隙激发的磁性，通常称为安德列夫能级。在这里，我们报道了对具有大电子g因子的塞曼效应对具有大量电子g因子的半导体量子点的安德列夫能级的直接测量，该强耦合到具有大临界磁场的常规超导体。这种材料的组合使自旋简并性得以提升而又不破坏超导性。我们表明，穿过费米能量的自旋分裂安德烈耶夫能级导致量子相转变为自旋极化态，这暗示着系统的铁电平价发生了变化。这种交叉表现为在有限磁场下的零偏置电导异常，其性质类似于拓扑超导体中的马约拉纳模式所期望的性质。尽管可以理解这种相似性而没有引起拓扑超导性，但是在长线范围内，观察到的奇偶性转变可以看作是马里亚纳模的前兆。</ p> 
