doi,title,title_cn,abstract,abstract_cn,affiliations,affiliations_cn
10.1038/nphoton.2006.57,Exciting times,激动人心的时刻 ,,,[],[] 
10.1038/nphoton.2006.56,DNA – a new material for photonics?,DNA –光子学的新材料？ ,,,"[{""address"": ""Nanoelectronics Laboratory, University of Cincinnati, Cincinnati, 45221-0030, Ohio, USA"", ""authors"": [""Andrew J. Steckl""]}]",[{“地址”：“美国俄亥俄州辛辛那提市辛辛那提大学纳米电子实验室，45221-0030”，“作者”：[“ Andrew J. Steckl”]}] 
10.1038/nphoton.2006.35,Photonic fabrics take shape,光子织物成型 ,,,"[{""address"": ""a freelance science and technology journalist based in Brighton, UK"", ""authors"": [""Duncan Graham-Rowe""]}]",[{“地址”：“英国布莱顿的自由科学和技术记者”，“作者”：[“邓肯·格雷厄姆-罗威”]}] 
10.1038/nphoton.2006.65,"Photon heat transfer, chiral splitting, probing attosecond pulses, quantum-dot waveguides and more",光子传热，手性分裂，探测阿秒脉冲，量子点波导等 ,,,[],[] 
10.1038/nphoton.2006.58,Remember the light,记住光 ,,,"[{""address"": ""Department of Electrical and Computer Engineering, Yokohama National University, Yokohama, 240-8501, Japan"", ""authors"": [""Toshihiko Baba""]}]",[{“地址”：“横滨国立大学电气与计算机工程系，日本横滨，240-8501”，“作者”：[“ Toshihiko Baba”]}] 
10.1038/nphoton.2006.70,"Surf, you're on camera",冲浪，你在拍照 ,,,[],[] 
10.1038/nphoton.2006.59,Orient yourself,定位自己 ,,,"[{""address"": ""Departamento de F\u00edsica Te\u00f3rica de la Materia Condensada, Universidad Aut\u00f3noma de Madrid, Madrid, 28049, Spain"", ""authors"": [""Francisco J. Garc\u00eda-Vidal""]}]",[{“地址”：“凝聚态理论物理系，马德里，马德里，西班牙28049，马德里大学，作者”：[“ Francisco J. Garc \ u00eda-Vidal”]}] 
10.1038/nphoton.2006.60,Superfocusing of terahertz waves,太赫兹波的超聚焦 ,,,"[{""address"": ""Clarendon Laboratory at the University of Oxford, Parks Road, Oxford, OX1 3PU, UK"", ""authors"": [""Michael B. Johnston""]}]",[{“地址”：“英国OX1 3PU，牛津大学公园路牛津大学克拉伦登实验室”，“作者”：[“ Michael B. Johnston”]}] 
10.1038/nphoton.2006.62,Keeping cryptographic keys safe,保持加密密钥的安全 ,,,"[{""address"": ""NuCrypt L.L.C., 1801 Maple Avenue, 6322, Evanston, 60201-3135, Illinois, USA"", ""authors"": [""Gregory S. Kanter""]}, {""address"": ""The Centre for Photonic Communication and Computing in the Electrical Engineering and Computer Science Department at Northwestern University, 2145 N. Sheridan Rd, Evanston, 60208-3118, Illinois, USA"", ""authors"": [""Prem Kumar""]}]",[{“地址”：“ NuCrypt LLC，美国伊利诺伊州6021-135，埃文斯顿，枫树大道1801号，3222，”，“作者”：[“ Gregory S. Kanter”]}，{“地址”：“中心 美国伊利诺伊州埃文斯顿市谢里登路2145号西北大学电气工程和计算机科学系的光子通信和计算，美国伊利诺伊州60208-3118，“作者”：[“ Prem Kumar”]}] 
10.1038/nphoton.2006.61,The polarization gates open,极化门打开 ,,,"[{""address"": ""Optical Fiber Research group at OFS Laboratories, 19 Schoolhouse Road, Somerset, 08873, New Jersey, USA"", ""authors"": [""John Fini""]}]",[{“地址”：“美国新泽西州萨默塞特市Schoolhouse Road 19号OFS实验室光纤研究小组，美国新泽西州08873”，“作者”：[“ John Fini”]}] 
10.1038/nphoton.2006.63,An exercise in self control,自我控制练习 ,,,"[{""address"": ""School of Electrical and Computer Engineering at Cornell University, Phillips Hall, Ithaca, 14853, New York, USA"", ""authors"": [""Michal Lipson""]}]",[{“地址”：“康奈尔大学电气与计算机工程学院，伊萨卡市菲利普斯音乐厅，美国纽约14853”，“作者”：[“ Michal Lipson”]}]] 
10.1038/nphoton.2006.78,Haitz's law,海兹定律 ,,,[],[] 
10.1038/nphoton.2006.44,The story of a new light source,新光源的故事 ,"<p>Since its humble origins as a red indicator on electronic goods, the LED has come a long way and the latest white-light versions are now surpassing the efficiency of fluorescent lamps.</p>",<p> LED作为电子产品上的红色指示器，起初不起眼，因此已经走了很长一段路，最新的白光灯现在已经超过了荧光灯的效率。</ p> ,"[{""address"": ""Optoelectronic Programs, Strategies Unlimited, 201 San Antonio Circle, Suite 205, Mountain View, 94040, California, USA"", ""authors"": [""Robert V. Steele""]}]",[{“地址”：“光电程序，无限策略，圣安东尼奥街201号，套房205，山景城，美国加利福尼亚州94040”，“作者”：[“罗伯特·V·斯蒂尔”]}] 
10.1038/nphoton.2006.43,Purer white light and the latest advances in LED technology,纯白光和LED技术的最新进展 ,,,[],[] 
10.1038/nphoton.2006.31,Car makers embrace LED signals,汽车制造商拥抱LED信号 ,,,"[{""address"": ""WW Marcom Manager, Philips Lumileds Lighting Company, San Jose, 95131, California, USA"", ""authors"": [""Steve Landau""]}, {""address"": ""Automotive Lighting Consultant, Plymouth, 48170, Michigan, USA"", ""authors"": [""Jeff Erion""]}]",[{“地址”：“飞利浦Lumileds照明公司，WW Marcom经理，美国加利福尼亚州95131，圣何塞”，“作者”：[“ Steve Landau”]}，{“地址”：“普利茅斯汽车照明顾问， 48170，密歇根州，美国”，“作者”：[“ Jeff Erion”]}] 
