doi,title,title_cn,abstract,abstract_cn
10.1038/s41566-019-0392-8,A room-temperature organic polariton transistor,室温有机极化晶体管 ,"<p>Active optical elements with ever smaller footprint and lower energy consumption are central to modern photonics. The drive for miniaturization, speed and efficiency, with the concomitant volume reduction of the optically active area, has led to the development of devices that harness strong light&#8211;matter interactions. By managing the strength of light&#8211;matter coupling to exceed losses, quasiparticles, called exciton-polaritons, are formed that combine the properties of the optical fields with the electronic excitations of the active material. By making use of polaritons in inorganic semiconductor microcavities, all-optical transistor functionality was observed, albeit at cryogenic temperatures. Here, we replace inorganic semiconductors with a ladder-type polymer in an optical microcavity and realize room-temperature operation of a polariton transistor through vibron-mediated stimulated polariton relaxation. We demonstrate net gain of ~10&#8201;dB&#8201;&#956;m<sup>&#8722;1</sup>, sub-picosecond switching time, cascaded amplification and all-optical logic operation at ambient conditions.</p>",<p>占地面积更小，能耗更低的有源光学元件是现代光子学的核心。随着微型化，速度和效率的提高，同时光学有源区的体积减小，驱动了利用强光与物质相互作用的设备的开发。通过管理光耦合强度超过损耗，形成了称为激子-极化子的准粒子，这些粒子将光场的特性与活性物质的电子激发相结合。通过在无机半导体微腔中使用极化子，即使在低温下也可以观察到全光学晶体管的功能。在这里，我们在光微腔中用梯型聚合物代替无机半导体，并通过荧光子介导的受激极化子弛豫实现极化子晶体管的室温工作。我们展示了在环境条件下的〜10＆＃8201; dB＆＃8201;＆＃956; m <sup>＆＃8722; 1 </ sup>的净增益，亚皮秒切换时间，级联放大和全光逻辑操作。 </ p> 
10.1038/s41566-019-0379-5,Laser cavity-soliton microcombs,激光腔孤子微梳 ,"<p>Microcavity-based frequency combs, or &#8216;microcombs&#8217;, have enabled many fundamental breakthroughs through the discovery of temporal cavity-solitons. These self-localized waves, described by the Lugiato&#8211;Lefever equation, are sustained by a background of radiation usually containing 95% of the total power. Simple methods for their efficient generation and control are currently being investigated to finally establish microcombs as out-of-the-lab tools. Here, we demonstrate microcomb laser cavity-solitons. Laser cavity-solitons are intrinsically background-free and have underpinned key breakthroughs in semiconductor lasers. By merging their properties with the physics of multimode systems, we provide a new paradigm for soliton generation and control in microcavities. We demonstrate 50-nm-wide bright soliton combs induced at average powers more than one order of magnitude lower than the Lugiato&#8211;Lefever soliton power threshold, measuring a mode efficiency of 75% versus the theoretical limit of 5% for bright Lugiato&#8211;Lefever solitons. Finally, we can tune the repetition rate by well over a megahertz without any active feedback.</p>",<p>基于微腔的频率梳或微梳通过发现颞腔孤子实现了许多根本性的突破。用Lugiato Lefever方程描述的这些自定位波由通常包含总功率95％的辐射背景维持。目前正在研究用于有效产生和控制的简单方法，以最终建立微型梳子作为实验室外的工具。在这里，我们演示了微梳状激光腔孤子。激光腔孤子本质上是无背景的，并为半导体激光器的关键突破奠定了基础。通过将它们的特性与多模系统的物理特性相结合，我们为微腔中孤子的产生和控制提供了新的范例。我们展示了以平均功率比Lugiato的孤子功率阈值低一个数量级以上的50 nm宽的明亮孤子梳，测量的模式效率为75％，而明亮Lugiato的理论极限为5％ 8211;自由孤子最后，我们可以在没有任何有效反馈的情况下将重复频率调整到一个兆赫兹以上。</ p> 
10.1038/s41566-019-0394-6,Ultrasensitive hyperspectral imaging and biodetection enabled by dielectric metasurfaces,通过介电超表面实现超灵敏的高光谱成像和生物检测 ,"<p>Metasurfaces based on resonant subwavelength photonic structures enable novel ways of wavefront control and light focusing, underpinning a new generation of flat-optics devices. Recently emerged all-dielectric asymmetric metasurfaces, composed of arrays of metaunits with broken in-plane inversion symmetry, exhibit high-quality resonances originating from the intriguing physics of bound states in the continuum. Here, we combine dielectric metasurfaces and hyperspectral imaging to develop an ultrasensitive label-free analytical platform for biosensing. Our technique can acquire spatially resolved spectra from millions of image pixels and use smart data-processing tools to extract high-throughput digital sensing information at the unprecedented level of less than three molecules per &#956;m<sup>2</sup>. We further show spectral data retrieval from a single image without using spectrometers, enabled by our unique sensor design, paving the way for portable diagnostic applications. This combination of nanophotonics and imaging optics extends the capabilities of dielectric metasurfaces to analyse biological entities and atomic-layer-thick two-dimensional materials over large areas.</p>",<p>基于谐振亚波长光子结构的超颖表面实现了波阵面控制和光聚焦的新方法，从而支撑了新一代平面光学器件。最近出现的全介电不对称超表面，由具有破碎的面内反转对称性的元单元阵列组成，表现出源自连续态中有趣的结合态物理学的高质量共振。在这里，我们结合了介电超表面和高光谱成像技术，为生物传感开发了超灵敏的无标记分析平台。我们的技术可以从数百万个图像像素中获取空间分辨的光谱，并使用智能数据处理工具以前所未有的水平（每m <sup> 2 </ sup>少于三个分子）提取高通量数字传感信息。 。通过我们独特的传感器设计，我们进一步展示了无需使用光谱仪即可从单个图像检索光谱数据的方法，为便携式诊断应用铺平了道路。纳米光子学和成像光学的这种结合扩展了介电超表面的功能，可以在大面积上分析生物实体和原子层厚的二维材料。</ p> 
10.1038/s41566-019-0428-0,Valley optomechanics in a monolayer semiconductor,单层半导体中的谷光机 ,"<p>Interfacing nanomechanics with photonics and charge/spin-based electronics has transformed information technology and facilitated fundamental searches for the quantum-to-classical transition. Utilizing the electron valley degree of freedom as an information carrier, valleytronics has recently emerged as a promising platform for developments in computation and communication. Thus far, explorations of valleytronics have focused on optoelectronic and magnetic means. Here, we realize valley&#8211;mechanical coupling in a resonator made of the monolayer semiconductor MoS<sub>2</sub> and transduce valley information into mechanical states. The coupling is achieved by exploiting the magnetic moment of valley carriers with a magnetic field gradient. We optically populate the valleys and observe the resulting mechanical actuation using laser interferometry. We are thus able to control the valley&#8211;mechanical interaction by adjusting the pump-laser light, the magnetic field gradient and temperature. Our work paves the way for realizing valley-actuated devices and hybrid valley quantum systems.</p>",<p>纳米力学与光子学和基于电荷/自旋的电子学的接口已经改变了信息技术，并促进了从量子到经典过渡的基础研究。利用电子山谷的自由度作为信息载体，山谷电子最近成为了计算和通信发展的有希望的平台。到目前为止，Valleytronics的探索集中在光电和磁学手段上。在这里，我们在由单层半导体MoS <sub> 2 </ sub>制成的谐振器中实现了波谷机械耦合，并将波谷信息转换为机械状态。通过利用具有磁场梯度的波谷载波的磁矩来实现耦合。我们以光学方式填充山谷，并使用激光干涉仪观察由此产生的机械驱动。因此，我们可以通过调整泵浦激光，磁场梯度和温度来控制波谷机械相互作用。我们的工作为实现谷驱动装置和混合谷量子系统铺平了道路。</ p> 
10.1038/s41566-019-0395-5,An optical tweezer phonon laser,光学镊子声子激光器 ,"<p>Phonon lasers are mechanical analogues of the ubiquitous optical laser and have been realized in a variety of contexts. However, no such demonstration exists for mesoscopic levitated optomechanical systems, which are emerging as important platforms for conducting fundamental tests of quantum mechanics and gravity, as well as for developing sensing modalities that couple mechanical motion to electron spin and charge. Inspired by the pioneering work of Arthur Ashkin on optical tweezers, we introduce a mesoscopic, frequency-tunable phonon laser based on the centre-of-mass oscillation of a silica nanosphere levitated in an optical tweezer under vacuum. Unlike previous levitated realizations, our scheme is general enough to be used on single electrons, liquid droplets or even small biological organisms. Our device thus provides a pathway for a coherent source of phonons on the mesoscale that can be applied to both fundamental problems in quantum mechanics as well as tasks of precision metrology.</p>",声子激光器是无处不在的光学激光器的机械类似物，并且已经在多种情况下实现了。但是，对于介观悬浮光机系统而言，尚无此类论证，而介观光机系统正成为进行量子力学和引力基本测试以及开发将机械运动耦合至电子自旋和电荷的传感模态的重要平台。受亚瑟·阿什金（Arthur Ashkin）在光学镊子上的开创性工作的启发，我们引入了介观，频率可调的声子激光器，该激光器基于在真空镊子中悬浮在光镊中的二氧化硅纳米球的质心振荡。与以前的悬浮实现不同，我们的方案足够通用，可以用于单个电子，液滴甚至小型生物。因此，我们的设备为中尺度的声子相干源提供了一条途径，该途径既可应用于量子力学中的基本问题，也可应用于精密计量学。</ p> 
10.1038/s41566-019-0408-4,Colour-tunable ultra-long organic phosphorescence of a single-component molecular crystal,单组分分子晶体的颜色可调超长有机磷光 ,"<p>Materials exhibiting long-lived, persistent luminescence in the visible spectrum are useful for applications in the display, information encryption and bioimaging sectors. Herein, we report the development of several organic phosphors that provide colour-tunable, ultra-long organic phosphorescence (UOP). The emission colour can be tuned by varying the excitation wavelength, allowing dynamic colour tuning from the violet to the green part of the visible spectrum. Our experimental data reveal that these organic phosphors can have an ultra-long lifetime of 2.45&#8201;s and a maximum phosphorescence efficiency of 31.2%. Furthermore, we demonstrate the applications of colour-tunable UOP for use in a multicolour display and visual sensing of ultraviolet light in the range from 300 to 360&#8201;nm. The findings open the opportunity for the development of smart luminescent materials and sensors with dynamically controlled phosphorescence.</p>",<p>在可见光谱中表现出长期，持久发光的材料可用于显示，信息加密和生物成像领域。 在此，我们报告了几种提供颜色可调，超长有机磷光（UOP）的有机磷光体的发展。 可以通过改变激发波长来调节发射颜色，从而可以从可见光谱的紫色到绿色部分进行动态颜色调节。 我们的实验数据表明，这些有机磷光体可以具有2.45 s的超长寿命，最大磷光效率为31.2％。 此外，我们演示了彩色可调UOP在多色显示和视觉感测范围从300到360nm的紫外光中的应用。 这些发现为开发具有动态控制磷光的智能发光材料和传感器提供了机会。</ p> 
10.1038/s41566-019-0396-4,Stimulated Raman excited fluorescence spectroscopy and imaging,受激拉曼激发荧光光谱和成像 ,"<p>Powerful optical tools have revolutionized science and technology. The prevalent fluorescence detection offers superb sensitivity down to single molecules but lacks sufficient chemical information. In contrast, Raman-based vibrational spectroscopy provides exquisite chemical specificity about molecular structure, dynamics and coupling, but is notoriously insensitive. Here, we report a hybrid technique of stimulated Raman excited fluorescence (SREF) that integrates superb detection sensitivity and fine chemical specificity. Through stimulated Raman pumping to an intermediate vibrational eigenstate, followed by an upconversion to an electronic fluorescent state, SREF encodes vibrational resonance into the excitation spectrum of fluorescence emission. By harnessing the narrow vibrational linewidth, we demonstrated multiplexed SREF imaging in cells, breaking the &#8216;colour barrier&#8217; of fluorescence. By leveraging the superb sensitivity of SREF, we achieved all-far-field single-molecule Raman spectroscopy and imaging without plasmonic enhancement, a long-sought-after goal in photonics. Thus, through merging Raman and fluorescence spectroscopy, SREF would be a valuable tool for chemistry and biology.</p>",<p>强大的光学工具彻底改变了科学技术。普遍的荧光检测技术对单个分子的灵敏度很高，但缺乏足够的化学信息。相比之下，基于拉曼的振动光谱学可提供有关分子结构，动力学和偶联的精确化学特异性，但众所周知是不灵敏的。在这里，我们报告了一种混合了出色的检测灵敏度和精细的化学特异性的受激拉曼激发荧光（SREF）的混合技术。通过将受激拉曼泵浦到中间振动本征态，然后向上转换为电子荧光态，SREF将振动共振编码为荧光发射的激发光谱。通过利用狭窄的振动线宽，我们展示了单元中的多路SREF成像，打破了“色差”。荧光。通过利用SREF的出色灵敏度，我们实现了无等离子体增强的全场单分子拉曼光谱和成像，这是光子学中一个长期追求的目标。因此，通过结合拉曼光谱和荧光光谱，SREF将成为化学和生物学的宝贵工具。</ p> 
10.1038/s41566-019-0390-x,Rational molecular passivation for high-performance perovskite light-emitting diodes,高性能钙钛矿发光二极管的合理分子钝化 ,"<p>A major efficiency limit for solution-processed perovskite optoelectronic devices, for example light-emitting diodes, is trap-mediated non-radiative losses. Defect passivation using organic molecules has been identified as an attractive approach to tackle this issue. However, implementation of this approach has been hindered by a lack of deep understanding of how the molecular structures influence the effectiveness of passivation. We show that the so far largely ignored hydrogen bonds play a critical role in affecting the passivation. By weakening the hydrogen bonding between the passivating functional moieties and the organic cation featuring in the perovskite, we significantly enhance the interaction with defect sites and minimize non-radiative recombination losses. Consequently, we achieve exceptionally high-performance near-infrared perovskite light-emitting diodes with a record external quantum efficiency of 21.6%. In addition, our passivated perovskite light-emitting diodes maintain a high external quantum efficiency of 20.1% and a wall-plug efficiency of 11.0% at a high current density of 200&#8201;mA&#8201;cm<sup>&#8722;2</sup>, making them more attractive than the most efficient organic and quantum-dot light-emitting diodes at high excitations.</p>",对于溶液处理的钙钛矿光电器件（例如发光二极管）的主要效率极限是陷阱介导的非辐射损耗。使用有机分子进行钝化钝化已被认为是解决此问题的一种有吸引力的方法。但是，由于缺乏对分子结构如何影响钝化效果的深入了解，阻碍了该方法的实施。我们表明，迄今为止被广泛忽略的氢键在影响钝化方面起着关键作用。通过削弱钙钛矿中钝化功能部分和有机阳离子之间的氢键，我们显着增强了与缺陷位点的相互作用，并使非辐射重组损失最小化。因此，我们实现了异常高性能的近红外钙钛矿发光二极管，具有创纪录的21.6％的外部量子效率。另外，我们的钝化钙钛矿型发光二极管在200mA的高电流密度下仍保持20.1％的高外部量子效率和11.0％的壁塞效率。 2 </ sup>，使其在高激发下比最高效的有机和量子点发光二极管更具吸引力。</ p> 
10.1038/s41566-019-0387-5,Anisotropic structural dynamics of monolayer crystals revealed by femtosecond surface X-ray scattering,飞秒表面X射线散射揭示单层晶体的各向异性结构动力学 ,"<p>Ultrafast X-ray scattering is one of the primary tools to track intrinsic crystallographic evolution with atomic accuracy in real time. However, its application to study nonequilibrium structural properties at the two-dimensional limit remains a long-standing challenge due to a significant reduction of diffraction volume and complexity of data analysis. Here, we report femtosecond surface X-ray diffraction in combination with crystallographic model-refinement calculations to quantify the ultrafast structural dynamics of monolayer WSe<sub>2</sub> crystals supported on a substrate. We found the absorbed optical photon energy is preferably coupled to the in-plane lattice vibrations within one picosecond whereas the out-of-plane lattice vibration amplitude remains unchanged during the first ten picoseconds. The model-assisted fitting suggests an asymmetric intralayer spacing change upon excitation. The observed nonequilibrium anisotropic structural dynamics agrees with first-principles modelling in both real and momentum space, marking the distinct structural dynamics of monolayer crystals from their bulk counterparts.</p>",<p>超快X射线散射是实时跟踪原子内在晶体演化的主要工具之一。然而，由于衍射体积的显着减少和数据分析的复杂性，其在二维极限条件下研究非平衡结构性质的应用仍然是一个长期的挑战。在这里，我们报告飞秒表面X射线衍射结合晶体学模型精化计算，以量化支撑在基底上的单层WSe <sub> 2 </ sub>晶体的超快结构动力学。我们发现吸收的光子能量最好在一个皮秒内耦合到平面内晶格振动，而平面外晶格振动幅度在前十皮秒内保持不变。模型辅助拟合表明，激发后不对称的层内间距会发生变化。在真实空间和动量空间中观察到的非平衡各向异性结构动力学与第一性原理模型相吻合，标志着单层晶体与它们的体积对应物不同的结构动力学。</ p> 
10.1038/s41566-019-0360-3,Programmable plasmonic phase modulation of free-space wavefronts at gigahertz rates,自由空间波前的千兆赫兹速率的可编程等离子相位调制 ,"<p>Space-variant control of optical wavefronts is important for many applications in photonics, such as the generation of structured light beams, and is achieved with spatial light modulators. Commercial devices, at present, are based on liquid-crystal and digital micromirror technologies and are typically limited to kilohertz switching speeds. To realize significantly higher operating speeds, new technologies and approaches are necessary. Here we demonstrate two-dimensional control of free-space optical fields at a wavelength of 1,550&#8201;nm at a 1&#8201;GHz modulation speed using a programmable plasmonic phase modulator based on near-field interactions between surface plasmons and materials with an electrooptic response. High &#967;<sup>(2)</sup> and &#967;<sup>(3)</sup> dielectric thin films of either aluminium nitride or silicon-rich silicon nitride are used as an active modulation layer in a surface plasmon resonance configuration to realize programmable space-variant control of optical wavefronts in a 4&#8201;&#215;&#8201;4 pixel array at high speed.</p>","对于光子学中的许多应用（例如结构化光束的生成），光波阵面的空间变量控制很重要，并且可以通过空间光调制器来实现。当前，商业设备基于液晶和数字微镜技术，并且通常限于千赫兹的切换速度。为了实现更高的运行速度，新技术和方法是必要的。在这里，我们演示了基于表面等离激元与材料之间的近场相互作用，使用可编程等离激元相位调制器，以1＆＃8201; GHz调制速度对波长为1,550＆＃8201; nm的自由空间光场进行二维控制。电光响应。氮化铝或富含硅的氮化硅的高＆＃967; <sup>（2）</ sup>和＆＃967; <sup>（3）</ sup>介电薄膜用作有源调制层在表面等离振子共振配置中，可以实现对4＆＃8201;＆＃215;＆＃8201; 4像素阵列中光波前的可编程空变控制。</ p> "
