doi,title,title_cn,abstract,abstract_cn
10.1038/nphys1199,Preparation of non-local superpositions of quasi-classical light states,拟古典光态的非局部叠加的制备 ,,
10.1038/nphys1177,Evidence for an oscillating soliton/vortex ring by density engineering of a Bose–Einstein condensate,Bose-Einstein凝聚物的密度工程学证明了振荡孤子/涡环 ,,
10.1038/nphys1182,Spin-resolved quantum-dot resonance fluorescence,自旋分辨量子点共振荧光 ,,
10.1038/nphys1184,Resonantly driven coherent oscillations in a solid-state quantum emitter,固态量子发射器中的共振驱动相干振荡 ,,
10.1038/nphys1186,Noisy Kondo impurities,嘈杂的近藤杂质 ,,
10.1038/nphys1197,Imaging nanoscale Fermi-surface variations in an inhomogeneous superconductor,成像非均匀超导体中的纳米费米表面变化 ,,
10.1038/nphys1180,Strength of the spin-fluctuation-mediated pairing interaction in a high-temperature superconductor,高温超导体中自旋涨落介导的配对相互作用的强度 ,,
10.1038/nphys1198,Quantum interference and Klein tunnelling in graphene heterojunctions,石墨烯异质结中的量子干涉和克莱因隧穿 ,,
10.1038/nphys1203,Observation of an Efimov-like trimer resonance in ultracold atom–dimer scattering,超冷原子二聚体散射中类似Efimov的三聚体共振的观察 ,,
10.1038/nphys1196,Frequency-specific flow control in microfluidic circuits with passive elastomeric features,具有被动弹性特征的微流回路中的特定频率流量控制 ,,
